relative_path,absolute_path,file_name,extension,size_bytes,role_in_project,row_count,column_count,columns
00_raw_original/output_tomtom_data完整数据(4).zip,D:\2026_PD\data\raw\package_extracted\00_raw_original\output_tomtom_data完整数据(4).zip,output_tomtom_data完整数据(4).zip,.zip,15439386,raw/source artifact,,,
01_source_fixed_dates_csv/output_tomtom_data_fixed_dates_CSV_only(2).zip,D:\2026_PD\data\raw\package_extracted\01_source_fixed_dates_csv\output_tomtom_data_fixed_dates_CSV_only(2).zip,output_tomtom_data_fixed_dates_CSV_only(2).zip,.zip,15493886,raw/source artifact,,,
02_cleaned_records/tomtom_cleaned_records.csv.gz,D:\2026_PD\data\raw\package_extracted\02_cleaned_records\tomtom_cleaned_records.csv.gz,tomtom_cleaned_records.csv.gz,.csv.gz,15525348,cleaned raw observation records,244477.0,34.0,node_id|node_order|event_time|pd_create_time|capture_time|flow_create_time|pd_uuid|point_uuid|flow_uuid|key_number|source_file|pd_latitude|pd_longitude|current_speed|free_flow_speed|current_travel_time|free_flow_travel_time|confidence|road_closure|tti|speed_ratio|speed_drop|travel_time_delay|speed_deficit_ratio|traffic_state|valid_record|valid_coordinates|valid_speed|valid_travel_time|valid_confidence|valid_time|pd_create_time_raw|capture_time_raw|flow_create_time_raw
02_cleaned_records/tomtom_cleaned_records_sample_1000.csv,D:\2026_PD\data\raw\package_extracted\02_cleaned_records\tomtom_cleaned_records_sample_1000.csv,tomtom_cleaned_records_sample_1000.csv,.csv,416035,cleaned raw observation records,1000.0,34.0,node_id|node_order|event_time|pd_create_time|capture_time|flow_create_time|pd_uuid|point_uuid|flow_uuid|key_number|source_file|pd_latitude|pd_longitude|current_speed|free_flow_speed|current_travel_time|free_flow_travel_time|confidence|road_closure|tti|speed_ratio|speed_drop|travel_time_delay|speed_deficit_ratio|traffic_state|valid_record|valid_coordinates|valid_speed|valid_travel_time|valid_confidence|valid_time|pd_create_time_raw|capture_time_raw|flow_create_time_raw
03_nodes/adjacency_binary_k2.csv,D:\2026_PD\data\raw\package_extracted\03_nodes\adjacency_binary_k2.csv,adjacency_binary_k2.csv,.csv,5720,monitoring point metadata,51.0,52.0,node_id|N001|N002|N003|N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N029|N030|N031|N032|N033|N034|N035|N036|N037|N038|N039|N040|N041|N042|N043|N044|N045|N046|N047|N048|N049|N050|N051
03_nodes/adjacency_distance_km.csv,D:\2026_PD\data\raw\package_extracted\03_nodes\adjacency_distance_km.csv,adjacency_distance_km.csv,.csv,47594,monitoring point metadata,51.0,52.0,node_id|N001|N002|N003|N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N029|N030|N031|N032|N033|N034|N035|N036|N037|N038|N039|N040|N041|N042|N043|N044|N045|N046|N047|N048|N049|N050|N051
03_nodes/adjacency_weighted_k2_exp.csv,D:\2026_PD\data\raw\package_extracted\03_nodes\adjacency_weighted_k2_exp.csv,adjacency_weighted_k2_exp.csv,.csv,14012,monitoring point metadata,51.0,52.0,node_id|N001|N002|N003|N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N029|N030|N031|N032|N033|N034|N035|N036|N037|N038|N039|N040|N041|N042|N043|N044|N045|N046|N047|N048|N049|N050|N051
03_nodes/nodes.csv,D:\2026_PD\data\raw\package_extracted\03_nodes\nodes.csv,nodes.csv,.csv,5290,monitoring point metadata,51.0,11.0,node_id|order_index|latitude|longitude|lat_round|lon_round|raw_records|unique_point_uuid|unique_key_number|first_time|last_time
04_panels/panel_15min_observed_only.csv.gz,D:\2026_PD\data\raw\package_extracted\04_panels\panel_15min_observed_only.csv.gz,panel_15min_observed_only.csv.gz,.csv.gz,882921,observed-only 15-minute panel,242883.0,4.0,node_id|time_bin|tti|observed_count
04_panels/panel_1h.csv.gz,D:\2026_PD\data\raw\package_extracted\04_panels\panel_1h.csv.gz,panel_1h.csv.gz,.csv.gz,3901269,primary regular hourly panel candidate,100980.0,52.0,node_id|time_bin|node_order|latitude|longitude|current_speed|free_flow_speed|current_travel_time|free_flow_travel_time|confidence|road_closure|observed_count|source_file_count|first_capture_time|last_capture_time|has_observation|missing_mask|tti|speed_ratio|speed_drop|travel_time_delay|speed_deficit_ratio|current_speed_input|free_flow_speed_input|current_travel_time_input|free_flow_travel_time_input|confidence_input|road_closure_input|tti_input|speed_ratio_input|speed_drop_input|travel_time_delay_input|speed_deficit_ratio_input|gap_length_steps|coverage_ratio_6h|coverage_ratio_24h|volatility_tti_3h|volatility_tti_6h|hour|day_of_week|is_weekend|hour_sin|hour_cos|dayofweek_sin|dayofweek_cos|gap_component|volatility_component|reliability_score|reliability_group|traffic_state_observed|traffic_state_input|valid_target
