model,horizon,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std
GRU,1,1.0486453153452384,0.03782112191189526,2.434759519370221,0.034205228870528515,0.01398110345196368,0.0005253867153261711,0.97687573126872,0.0006477338891511986
GRU,3,1.0337125433276129,0.027484614035894618,1.847885289007077,0.060627921451118796,0.013499031992985442,0.00039251435881431984,0.9864264396201543,0.0008933855008850141
GRU,6,0.9525153908078143,0.05057795824146169,1.536151100369414,0.0670862098075588,0.01247516696791752,0.0006001598304527089,0.9906126622790188,0.0008258225321690734
HA,1,1.9087225491398947,0.0,3.7858135633876095,0.0,0.028041130697753304,0.0,0.944100780791222,0.0
HA,3,1.7670076734430764,0.0,3.221253620625528,0.0,0.025966849745891096,0.0,0.9587883725613636,0.0
HA,6,1.555868891613001,0.0,2.78390590069934,0.0,0.0229004967444535,0.0,0.9692162484630671,0.0
Persistence,1,1.0493704965733723,0.0,3.1935336818078524,0.0,0.0148063172357732,0.0,0.9602231582024853,0.0
Persistence,3,1.310700671402648,0.0,3.2709789138092544,0.0,0.0188471277380216,0.0,0.9575062151567643,0.0
Persistence,6,1.6025600083736964,0.0,3.6998692720239874,0.0,0.0235836971085944,0.0,0.9456267614812417,0.0
ST-Transformer-lite,1,1.0666603402823174,0.05558716115838619,2.485440653081006,0.062001540222423046,0.014473254966443999,0.0006291641090570117,0.9758948273820561,0.0012140196348054781
ST-Transformer-lite,3,0.984696414900621,0.03747317366512185,1.8441690260113153,0.050111623632948944,0.01319184723679504,0.000489869985992877,0.9864846332909902,0.0007338452249086346
ST-Transformer-lite,6,0.9012858376227847,0.02233191497889866,1.5960166665197009,0.11082382697806868,0.0121947815676252,0.0002636336365121228,0.9898431448174774,0.001439869928944039
SeasonalHA,1,1.1484393823112802,0.0,2.689582231267182,0.0,0.0157563056052103,0.0,0.9717865010089664,0.0
SeasonalHA,3,1.015958182557622,0.0,1.943902548137346,0.0,0.0136360725452637,0.0,0.9849921353689324,0.0
SeasonalHA,6,0.9103676185940277,0.0,1.5415282255127518,0.0,0.0120656341481472,0.0,0.9905612299841332,0.0
TCN,1,1.1420006854262976,0.08781634797084073,2.444677328695186,0.05970962042616507,0.015208458839074759,0.0012556636765787877,0.9766795139010414,0.0011563394295780564
TCN,3,1.0113314772639779,0.03944625283948613,1.8210400676721625,0.023919389528641023,0.0134673155314463,0.0005943155219297903,0.9868274799842442,0.0003466336088872593
TCN,6,0.937764188574271,0.01731680532415306,1.526148261160258,0.023834435731688364,0.01243582301826298,0.00026869390162733185,0.9907468281794648,0.000290184355721513
XGBoost,1,0.9735874663398454,0.008037494323705872,2.274291937753976,0.015945862633270615,0.01273585097721514,0.00011248043204081746,0.9798257778404228,0.000283615838445887
XGBoost,3,0.868904347121866,0.005875650298624657,1.6541220214903674,0.005440890924031189,0.01135232117811956,6.130322918940635e-05,0.9891330224040639,7.153923279210251e-05
XGBoost,6,0.7866823530346082,0.002785074508068212,1.3505473244133788,0.003076280409139719,0.01035562040306944,2.4289825933649206e-05,0.9927550755937131,3.302267180311323e-05
