model,horizon,seed,MAE,RMSE,sMAPE,R2
GRU,1,42,1.0824979600933586,2.4775653740748944,0.0145591435895173,0.9760592615713148
GRU,1,2024,1.0536621614713548,2.440587619557492,0.0139513206820652,0.976768561417568
GRU,1,2025,1.0672940662817911,2.440868021947784,0.0142277797764463,0.976763222928537
GRU,1,2026,0.9841886541379796,2.382109834878539,0.0131407492657896,0.9778684994676172
GRU,1,3407,1.0555837347417083,2.432666746392397,0.014026523946,0.9769191109585624
HA,1,42,1.9087225491398945,3.7858135633876095,0.0280411306977533,0.944100780791222
HA,1,2024,1.9087225491398945,3.7858135633876095,0.0280411306977533,0.944100780791222
HA,1,2025,1.9087225491398945,3.7858135633876095,0.0280411306977533,0.944100780791222
HA,1,2026,1.9087225491398945,3.7858135633876095,0.0280411306977533,0.944100780791222
HA,1,3407,1.9087225491398945,3.7858135633876095,0.0280411306977533,0.944100780791222
Persistence,1,42,1.0493704965733723,3.1935336818078524,0.0148063172357732,0.9602231582024854
Persistence,1,2024,1.0493704965733723,3.1935336818078524,0.0148063172357732,0.9602231582024854
Persistence,1,2025,1.0493704965733723,3.1935336818078524,0.0148063172357732,0.9602231582024854
Persistence,1,2026,1.0493704965733723,3.1935336818078524,0.0148063172357732,0.9602231582024854
Persistence,1,3407,1.0493704965733723,3.1935336818078524,0.0148063172357732,0.9602231582024854
ST-Transformer-lite,1,42,1.1339109752793437,2.493446266319621,0.015372700231743,0.975751363495244
ST-Transformer-lite,1,2024,1.0536606097775385,2.445787180952758,0.0141068101328951,0.976669468918238
ST-Transformer-lite,1,2025,1.0086975192518268,2.4265423766830563,0.0138919665535505,0.977035179435572
ST-Transformer-lite,1,2026,1.1148925384695658,2.4751620871113245,0.0148853707470165,0.9761056850154076
ST-Transformer-lite,1,3407,1.022140058633312,2.5862653543382703,0.0141094271670149,0.9739124400458186
SeasonalHA,1,42,1.1484393823112802,2.689582231267182,0.0157563056052103,0.9717865010089664
SeasonalHA,1,2024,1.1484393823112802,2.689582231267182,0.0157563056052103,0.9717865010089664
SeasonalHA,1,2025,1.1484393823112802,2.689582231267182,0.0157563056052103,0.9717865010089664
SeasonalHA,1,2026,1.1484393823112802,2.689582231267182,0.0157563056052103,0.9717865010089664
SeasonalHA,1,3407,1.1484393823112802,2.689582231267182,0.0157563056052103,0.9717865010089664
TCN,1,42,1.0808280047522825,2.410745754110528,0.0143733782581217,0.9773332049830872
TCN,1,2024,1.2894024442664176,2.550351453703432,0.0173920127754109,0.9746319338217307
TCN,1,2025,1.076335222265257,2.420085505129536,0.0145334383202998,0.9771572326213254
TCN,1,2026,1.1523838764786285,2.4317375030474984,0.0151537569257419,0.9769367407191544
TCN,1,3407,1.1110538793689029,2.4104664274849346,0.0145897079157995,0.9773384573599097
XGBoost,1,42,0.9754881618171628,2.273730045644893,0.0127773379017418,0.9798365381675262
XGBoost,1,2024,0.9666126464271468,2.2575673804204706,0.0126453612227854,0.980122180679092
XGBoost,1,2025,0.9864562109641236,2.300100721195666,0.0129147538469252,0.9793661150636224
XGBoost,1,2026,0.97194424849649,2.274192934170031,0.0126821833073217,0.9798283275312788
XGBoost,1,3407,0.9674360639943038,2.2658686073388195,0.0126596186073016,0.9799757277605948
GRU,3,42,1.0531255454201351,1.9105882193141717,0.0137618329135097,0.9855021328175873
GRU,3,2024,1.0074605787617326,1.7862341298931863,0.0131856629519288,0.9873279554175856
GRU,3,2025,1.0060004685378312,1.824149725606107,0.0131312850658988,0.9867842781331544
GRU,3,2026,1.0681743873934049,1.9146789766254164,0.0140445480055139,0.9854399836355622
GRU,3,3407,1.0338017365249603,1.803775393596504,0.013371831028076,0.987077848096882
HA,3,42,1.7670076734430764,3.221253620625528,0.0259668497458911,0.9587883725613636
HA,3,2024,1.7670076734430764,3.221253620625528,0.0259668497458911,0.9587883725613636
HA,3,2025,1.7670076734430764,3.221253620625528,0.0259668497458911,0.9587883725613636
HA,3,2026,1.7670076734430764,3.221253620625528,0.0259668497458911,0.9587883725613636
HA,3,3407,1.7670076734430764,3.221253620625528,0.0259668497458911,0.9587883725613636
Persistence,3,42,1.310700671402648,3.2709789138092544,0.0188471277380216,0.9575062151567644
Persistence,3,2024,1.310700671402648,3.2709789138092544,0.0188471277380216,0.9575062151567644
Persistence,3,2025,1.310700671402648,3.2709789138092544,0.0188471277380216,0.9575062151567644
Persistence,3,2026,1.310700671402648,3.2709789138092544,0.0188471277380216,0.9575062151567644
Persistence,3,3407,1.310700671402648,3.2709789138092544,0.0188471277380216,0.9575062151567644
ST-Transformer-lite,3,42,0.9987882171582044,1.9089679742597876,0.0133043545334759,0.9855267117793494
ST-Transformer-lite,3,2024,1.0312760931651868,1.8740137401174344,0.013791590736018,0.9860518866761668
