phase,stratification_type,stratum,horizon,seed,test_n,MAE,RMSE,MAPE,sMAPE,R2,relative_MAE_vs_best_stratum_percent,threshold_method,threshold_values,warning,error_rank
phase17,reliability,low,1,42,3784,1.095875076209264,2.5067158622202936,0.0147428546196377,0.0144226911016486,0.9730335885277313,33.1992878341303,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,reliability,medium,1,42,4192,0.822733435012002,2.1543219348741247,0.0092914702297118,0.0090426600965597,0.9539981376485634,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,reliability,high,1,42,4289,1.319810125982881,2.5572348660242064,0.0198633302250667,0.0195400303598076,0.9829887115135116,60.41770880061871,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,reliability,low,1,2024,3784,1.2908615224205162,2.675422424139659,0.0180999027764419,0.017443115371586,0.9692816655728276,30.102922771483573,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,reliability,medium,1,2024,4192,0.9921848755756408,2.196468690493453,0.0116072532137194,0.0113360666858563,0.9521805869221096,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,reliability,high,1,2024,4289,1.5786108602646989,2.751269343774614,0.0241284416359552,0.0232659120113484,0.9803092529356786,59.1045075494452,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,reliability,low,1,2025,3784,1.1038142888792977,2.4920701141003776,0.0151985838107863,0.0148206739175275,0.9733477761287204,38.86523617565836,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,reliability,medium,1,2025,4192,0.7948816559696925,2.1357135550007897,0.0091234904586655,0.0088628363240277,0.9547894057450484,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,reliability,high,1,2025,4289,1.3271798391557843,2.6098064402764414,0.0201980437469256,0.0198223784609076,0.9822820866883988,66.96571485685256,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,reliability,low,1,2026,3784,1.1736078126233929,2.528524519689885,0.0155712583069239,0.0152456835440663,0.9725623269003906,31.93919063051877,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,reliability,medium,1,2026,4192,0.8895066030152882,2.160102015684423,0.0099943558977695,0.0097607284500096,0.953750959010017,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
