phase,experiment,level,level_numeric,horizon,seed,test_n,MAE,RMSE,MAPE,sMAPE,R2,reference_MAE,relative_MAE_change_percent
phase16,missingness,0,0.0,1,42,12265,1.1306425526148924,2.459456107874222,0.0152909708462177,0.014991197378451504,0.9764079625495993,1.1306425526148924,0.0
phase16,missingness,10,10.0,1,42,12265,1.8018809926981252,3.478125241319767,0.026408302373688564,0.024726964246844212,0.9528178498451257,1.1306425526148924,59.36787347432013
phase16,missingness,20,20.0,1,42,12265,2.650451832307488,4.768820498168849,0.0407884410318157,0.03692251489149398,0.9113029353937815,1.1306425526148924,134.41996112543777
phase16,missingness,30,30.0,1,42,12265,3.604443600262324,6.19563342615987,0.05684747844461641,0.04997161651956086,0.850287271834566,1.1306425526148924,218.7960325680429
phase16,missingness,0,0.0,1,2024,12265,1.152644129339841,2.482148689164527,0.01557924228609243,0.015196342887574774,0.9759706024035745,1.152644129339841,0.0
phase16,missingness,10,10.0,1,2024,12265,2.0468252905912903,3.6709682718198806,0.029071115548367322,0.027449385433625278,0.9474408227898885,1.152644129339841,77.57651633237204
phase16,missingness,20,20.0,1,2024,12265,3.046949461553226,5.0125335785558445,0.04454692283308288,0.04109397704981145,0.9020054583372291,1.152644129339841,164.34433525448298
phase16,missingness,30,30.0,1,2024,12265,4.196348669905104,6.511312567443803,0.061994008444999145,0.056140461067121866,0.8346423150899022,1.152644129339841,264.0628154943623
phase16,missingness,0,0.0,1,2025,12265,1.2719346605900401,2.6342993241397368,0.01679908899203143,0.01645297675367512,0.9729344076114599,1.2719346605900401,0.0
phase16,missingness,10,10.0,1,2025,12265,1.9268287924616083,3.4135687878183556,0.02669603591805627,0.025410981202284546,0.9545530634644585,1.2719346605900401,51.48803253523794
phase16,missingness,20,20.0,1,2025,12265,2.807932969943582,4.474597894109453,0.03976842813302133,0.03724361129250494,0.921910017786765,1.2719346605900401,120.76078724366272
phase16,missingness,30,30.0,1,2025,12265,3.9895660949346246,5.842130028625152,0.05637906862385024,0.052385945060549444,0.8668841609837239,1.2719346605900401,213.66124523125245
phase16,missingness,0,0.0,1,2026,12265,1.1632968047274603,2.4694179885160925,0.015622761604777373,0.015318136316013375,0.9762164592088091,1.1632968047274603,0.0
phase16,missingness,10,10.0,1,2026,12265,1.9623146593643606,3.395692485179553,0.027182661769588633,0.025876328415603785,0.9550278134859463,1.1632968047274603,68.68563993211481
phase16,missingness,20,20.0,1,2026,12265,3.044418404785604,4.587992945109381,0.04180365665096666,0.039644209609717485,0.9179019618907195,1.1632968047274603,161.70607470196367
phase16,missingness,30,30.0,1,2026,12265,4.2807513699257465,6.029269941884517,0.05867153432997411,0.05507777395871025,0.8582194185520099,1.1632968047274603,267.9844518208446
phase16,missingness,0,0.0,1,3407,12265,1.3894647571052088,2.705622092972387,0.01897440970082616,0.018643868703077177,0.9714489838845399,1.3894647571052088,0.0
phase16,missingness,10,10.0,1,3407,12265,2.2286777595865255,3.8199651690381087,0.032278933076911265,0.03035183023373867,0.9430877045977955,1.3894647571052088,60.398293529209134
phase16,missingness,20,20.0,1,3407,12265,3.2210273887301484,5.118292250006,0.047331733627516734,0.0434117507871523,0.8978266915762045,1.3894647571052088,131.81785448382234
phase16,missingness,30,30.0,1,3407,12265,4.356924102105173,6.604137979193435,0.06490146798156778,0.058335310814815786,0.8298940233495543,1.3894647571052088,213.56852196685622
phase16,missingness,0,0.0,3,42,11878,1.1280393443097168,1.889791028370647,0.01493305285558039,0.014785779954253647,0.9858160402096158,1.1280393443097168,0.0
phase16,missingness,10,10.0,3,42,11878,1.7628892895990318,3.001735918972043,0.02570153930057906,0.024280165047800964,0.9642138572679961,1.1280393443097168,56.27906052140406
phase16,missingness,20,20.0,3,42,11878,2.5697149007604225,4.307885533323955,0.039216466494057564,0.03593798433799942,0.9262947819118029,1.1280393443097168,127.80365895242004
phase16,missingness,30,30.0,3,42,11878,3.522770095461646,5.774833663540695,0.054600742561313774,0.04883561602321933,0.8675509387280222,1.1280393443097168,212.29142079413384
phase16,missingness,0,0.0,3,2024,11878,1.0965016664208578,1.8306693949955422,0.01435242495908484,0.014289618532301542,0.986689641041056,1.0965016664208578,0.0
phase16,missingness,10,10.0,3,2024,11878,1.9517792290480254,3.0842702142508007,0.02721034842092783,0.026059144290774425,0.9622188854786685,1.0965016664208578,78.0005711636462
phase16,missingness,20,20.0,3,2024,11878,2.9175944345168823,4.486005119913602,0.04238923223892923,0.039459926584298935,0.920073746617493,1.0965016664208578,166.08207938619358
phase16,missingness,30,30.0,3,2024,11878,3.9898015923282477,5.959150587032669,0.05879867197325194,0.05367644315481933,0.8589611864466776,1.0965016664208578,263.86644129338583
phase16,missingness,0,0.0,3,2025,11878,1.1722809783054293,1.9695411691422107,0.01534955520622152,0.015233337349015738,0.9845936396313124,1.1722809783054293,0.0
