column_name,meaning,unit,source_file,related_panel,notes
phase,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table03,candidate data column
model,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table03,candidate data column
horizon,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table03,candidate data column
seed,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table03,candidate data column
train_n,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table03,candidate data column
val_n,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table03,candidate data column
test_n,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table03,candidate data column
node_count,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table03,candidate data column
feature_set,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table03,candidate data column
MAE,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table03,candidate data column
RMSE,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table03,candidate data column
MAPE,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table03,candidate data column
sMAPE,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table03,candidate data column
R2,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table03,candidate data column
fit_time_sec,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table03,candidate data column
inference_time_sec,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table03,candidate data column
config_hash,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table03,candidate data column
data_hash,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table03,candidate data column
phase_source,See source file/context; GPT should infer/verify before plotting.,,phase14_main_model_statistical_tests.csv,Table03,candidate data column
comparison_type,See source file/context; GPT should infer/verify before plotting.,,phase14_main_model_statistical_tests.csv,Table03,candidate data column
horizon,See source file/context; GPT should infer/verify before plotting.,,phase14_main_model_statistical_tests.csv,Table03,candidate data column
seed_scope,See source file/context; GPT should infer/verify before plotting.,,phase14_main_model_statistical_tests.csv,Table03,candidate data column
reference_model_or_condition,See source file/context; GPT should infer/verify before plotting.,,phase14_main_model_statistical_tests.csv,Table03,candidate data column
compared_model_or_condition,See source file/context; GPT should infer/verify before plotting.,,phase14_main_model_statistical_tests.csv,Table03,candidate data column
n_pairs,See source file/context; GPT should infer/verify before plotting.,,phase14_main_model_statistical_tests.csv,Table03,candidate data column
reference_MAE_mean,See source file/context; GPT should infer/verify before plotting.,,phase14_main_model_statistical_tests.csv,Table03,candidate data column
compared_MAE_mean,See source file/context; GPT should infer/verify before plotting.,,phase14_main_model_statistical_tests.csv,Table03,candidate data column
relative_improvement_or_degradation_percent,See source file/context; GPT should infer/verify before plotting.,,phase14_main_model_statistical_tests.csv,Table03,candidate data column
test_name,See source file/context; GPT should infer/verify before plotting.,,phase14_main_model_statistical_tests.csv,Table03,candidate data column
statistic,See source file/context; GPT should infer/verify before plotting.,,phase14_main_model_statistical_tests.csv,Table03,candidate data column
p_value,See source file/context; GPT should infer/verify before plotting.,,phase14_main_model_statistical_tests.csv,Table03,candidate data column
p_value_corrected,See source file/context; GPT should infer/verify before plotting.,,phase14_main_model_statistical_tests.csv,Table03,candidate data column
effect_size,See source file/context; GPT should infer/verify before plotting.,,phase14_main_model_statistical_tests.csv,Table03,candidate data column
effect_size_type,See source file/context; GPT should infer/verify before plotting.,,phase14_main_model_statistical_tests.csv,Table03,candidate data column
significance_label,See source file/context; GPT should infer/verify before plotting.,,phase14_main_model_statistical_tests.csv,Table03,candidate data column
phase_source,See source file/context; GPT should infer/verify before plotting.,,phase14_final_mean_std_summary.csv,Table03,candidate data column
model_or_condition,See source file/context; GPT should infer/verify before plotting.,,phase14_final_mean_std_summary.csv,Table03,candidate data column
horizon,See source file/context; GPT should infer/verify before plotting.,,phase14_final_mean_std_summary.csv,Table03,candidate data column
metric,See source file/context; GPT should infer/verify before plotting.,,phase14_final_mean_std_summary.csv,Table03,candidate data column
mean,See source file/context; GPT should infer/verify before plotting.,,phase14_final_mean_std_summary.csv,Table03,candidate data column
std,See source file/context; GPT should infer/verify before plotting.,,phase14_final_mean_std_summary.csv,Table03,candidate data column
n_seeds,See source file/context; GPT should infer/verify before plotting.,,phase14_final_mean_std_summary.csv,Table03,candidate data column
formatted_mean_std,See source file/context; GPT should infer/verify before plotting.,,phase14_final_mean_std_summary.csv,Table03,candidate data column
