section,condition,horizon,metric_mean,metric_std,relative_change_percent,statistical_support,interpretation
feature_ablation,full_features,1,1.2215965808754885,0.1085582638362417,26.68625851326554,phase14_feature_ablation_statistical_tests.csv,Feature group comparison relative to speed_only; do not assume full_features is best unless supported by MAE.
feature_ablation,full_features,3,1.1485541259064218,0.0370661075958144,10.230770587815773,phase14_feature_ablation_statistical_tests.csv,Feature group comparison relative to speed_only; do not assume full_features is best unless supported by MAE.
feature_ablation,full_features,6,1.0806627562969855,0.053457463533523,16.22657419234759,phase14_feature_ablation_statistical_tests.csv,Feature group comparison relative to speed_only; do not assume full_features is best unless supported by MAE.
feature_ablation,speed_only,1,0.9656069591411804,0.0841701335356587,0.0,phase14_feature_ablation_statistical_tests.csv,Feature group comparison relative to speed_only; do not assume full_features is best unless supported by MAE.
feature_ablation,speed_only,3,1.042189765727205,0.0283402688013212,0.0,phase14_feature_ablation_statistical_tests.csv,Feature group comparison relative to speed_only; do not assume full_features is best unless supported by MAE.
feature_ablation,speed_only,6,0.929784975392086,0.025191466400926,0.0,phase14_feature_ablation_statistical_tests.csv,Feature group comparison relative to speed_only; do not assume full_features is best unless supported by MAE.
feature_ablation,speed_reliability,1,1.1682658752304556,0.076647557567345,21.975004280123777,phase14_feature_ablation_statistical_tests.csv,Feature group comparison relative to speed_only; do not assume full_features is best unless supported by MAE.
feature_ablation,speed_reliability,3,1.1139459306813586,0.066909470264946,6.971390254914479,phase14_feature_ablation_statistical_tests.csv,Feature group comparison relative to speed_only; do not assume full_features is best unless supported by MAE.
feature_ablation,speed_reliability,6,1.0552833752159458,0.1047568869917704,13.69503805641873,phase14_feature_ablation_statistical_tests.csv,Feature group comparison relative to speed_only; do not assume full_features is best unless supported by MAE.
feature_ablation,speed_time,1,1.1549255906986402,0.0162668716282118,20.33025450937983,phase14_feature_ablation_statistical_tests.csv,Feature group comparison relative to speed_only; do not assume full_features is best unless supported by MAE.
feature_ablation,speed_time,3,1.0676678055523825,0.0186490227635986,2.541467363753652,phase14_feature_ablation_statistical_tests.csv,Feature group comparison relative to speed_only; do not assume full_features is best unless supported by MAE.
feature_ablation,speed_time,6,0.9853306508350388,0.0294123754557626,6.049940114217404,phase14_feature_ablation_statistical_tests.csv,Feature group comparison relative to speed_only; do not assume full_features is best unless supported by MAE.
feature_ablation,speed_volatility,1,1.0759072207588103,0.0741190597350744,12.117821983477969,phase14_feature_ablation_statistical_tests.csv,Feature group comparison relative to speed_only; do not assume full_features is best unless supported by MAE.
feature_ablation,speed_volatility,3,1.012684306048207,0.0493123666227228,-2.7126749705574444,phase14_feature_ablation_statistical_tests.csv,Feature group comparison relative to speed_only; do not assume full_features is best unless supported by MAE.
feature_ablation,speed_volatility,6,0.9502898019178906,0.0437538059945845,2.354031643433626,phase14_feature_ablation_statistical_tests.csv,Feature group comparison relative to speed_only; do not assume full_features is best unless supported by MAE.
robustness,missingness,1,110.43192178469911,91.91532128925536,267.9844518208446,phase14_robustness_statistical_tests.csv,Maximum degradation occurs at 30.
robustness,missingness,3,114.37855398902845,99.2555169432587,331.9338329697454,phase14_robustness_statistical_tests.csv,Maximum degradation occurs at 30.
robustness,missingness,6,125.34901253268283,107.3056000485076,339.86941859024967,phase14_robustness_statistical_tests.csv,Maximum degradation occurs at 30.
robustness,noise,1,9.79038560802157,9.54850631852684,26.409538174798254,phase14_robustness_statistical_tests.csv,Maximum degradation occurs at high.
robustness,noise,3,7.74359915499871,7.587791673679838,21.33855927817599,phase14_robustness_statistical_tests.csv,Maximum degradation occurs at high.
robustness,noise,6,6.981727353250252,6.822159039948612,18.13022253459657,phase14_robustness_statistical_tests.csv,Maximum degradation occurs at high.
robustness,small_sample,1,8.562391320678433,10.400167623697897,31.13155758099104,phase14_robustness_statistical_tests.csv,Maximum degradation occurs at 20.
