phase,file_name,model,horizon,seed,mae_recomputed,rmse_recomputed,metric_row_found,mae_match,rmse_match
phase13,GRU_h1_seed2024.parquet,GRU,1,2024,1.0536621809005737,2.4405875205993652,True,True,True
phase13,GRU_h1_seed2025.parquet,GRU,1,2025,1.0672941207885742,2.4408681392669678,True,True,True
phase13,GRU_h1_seed2026.parquet,GRU,1,2026,0.9841886758804321,2.3821098804473877,True,True,True
phase13,GRU_h1_seed3407.parquet,GRU,1,3407,1.0555837154388428,2.432666778564453,True,True,True
phase13,GRU_h1_seed42.parquet,GRU,1,42,1.0824979543685913,2.477565288543701,True,True,True
phase13,GRU_h3_seed2024.parquet,GRU,3,2024,1.007460594177246,1.7862341403961182,True,True,True
phase13,GRU_h3_seed2025.parquet,GRU,3,2025,1.0060003995895386,1.82414972782135,True,True,True
phase13,GRU_h3_seed2026.parquet,GRU,3,2026,1.0681743621826172,1.914678931236267,True,True,True
phase13,GRU_h3_seed3407.parquet,GRU,3,3407,1.033801794052124,1.803775429725647,True,True,True
phase13,GRU_h3_seed42.parquet,GRU,3,42,1.0531255006790161,1.910588264465332,True,True,True
phase13,GRU_h6_seed2024.parquet,GRU,6,2024,0.9505013227462769,1.537150502204895,True,True,True
phase13,GRU_h6_seed2025.parquet,GRU,6,2025,0.9027802348136902,1.4639736413955688,True,True,True
phase13,GRU_h6_seed2026.parquet,GRU,6,2026,0.9282782673835754,1.5586506128311157,True,True,True
phase13,GRU_h6_seed3407.parquet,GRU,6,3407,0.9442456960678101,1.4859898090362549,True,True,True
phase13,GRU_h6_seed42.parquet,GRU,6,42,1.036771297454834,1.6349908113479614,True,True,True
phase13,HA_h1_seed2024.parquet,HA,1,2024,1.9087225198745728,3.785813570022583,True,True,True
phase13,HA_h1_seed2025.parquet,HA,1,2025,1.9087225198745728,3.785813570022583,True,True,True
phase13,HA_h1_seed2026.parquet,HA,1,2026,1.9087225198745728,3.785813570022583,True,True,True
phase13,HA_h1_seed3407.parquet,HA,1,3407,1.9087225198745728,3.785813570022583,True,True,True
phase13,HA_h1_seed42.parquet,HA,1,42,1.9087225198745728,3.785813570022583,True,True,True
phase13,HA_h3_seed2024.parquet,HA,3,2024,1.7670077085494995,3.2212536334991455,True,True,True
phase13,HA_h3_seed2025.parquet,HA,3,2025,1.7670077085494995,3.2212536334991455,True,True,True
phase13,HA_h3_seed2026.parquet,HA,3,2026,1.7670077085494995,3.2212536334991455,True,True,True
phase13,HA_h3_seed3407.parquet,HA,3,3407,1.7670077085494995,3.2212536334991455,True,True,True
phase13,HA_h3_seed42.parquet,HA,3,42,1.7670077085494995,3.2212536334991455,True,True,True
phase13,HA_h6_seed2024.parquet,HA,6,2024,1.5558688640594482,2.7839059829711914,True,True,True
phase13,HA_h6_seed2025.parquet,HA,6,2025,1.5558688640594482,2.7839059829711914,True,True,True
phase13,HA_h6_seed2026.parquet,HA,6,2026,1.5558688640594482,2.7839059829711914,True,True,True
phase13,HA_h6_seed3407.parquet,HA,6,3407,1.5558688640594482,2.7839059829711914,True,True,True
phase13,HA_h6_seed42.parquet,HA,6,42,1.5558688640594482,2.7839059829711914,True,True,True
phase13,Persistence_h1_seed2024.parquet,Persistence,1,2024,1.049370527267456,3.1935336589813232,True,True,True
phase13,Persistence_h1_seed2025.parquet,Persistence,1,2025,1.049370527267456,3.1935336589813232,True,True,True
