model,horizon,MAE_mean,MAE_std,RMSE_mean,RMSE_std,n_seeds,test_n
GRU,1,1.0486453153452384,0.03782112191189526,2.434759519370221,0.034205228870528515,5,12265
GRU,3,1.0337125433276129,0.027484614035894618,1.847885289007077,0.060627921451118796,5,11878
GRU,6,0.9525153908078143,0.05057795824146169,1.536151100369414,0.0670862098075588,5,12166
HA,1,1.9087225491398947,0.0,3.7858135633876095,0.0,5,12265
HA,3,1.7670076734430764,0.0,3.221253620625528,0.0,5,11878
HA,6,1.555868891613001,0.0,2.78390590069934,0.0,5,12166
Persistence,1,1.0493704965733723,0.0,3.1935336818078524,0.0,5,12265
Persistence,3,1.310700671402648,0.0,3.2709789138092544,0.0,5,11878
Persistence,6,1.6025600083736964,0.0,3.6998692720239874,0.0,5,12166
ST-Transformer-lite,1,1.0666603402823174,0.05558716115838619,2.485440653081006,0.062001540222423046,5,12265
ST-Transformer-lite,3,0.984696414900621,0.03747317366512185,1.8441690260113153,0.050111623632948944,5,11878
ST-Transformer-lite,6,0.9012858376227847,0.02233191497889866,1.5960166665197009,0.11082382697806868,5,12166
SeasonalHA,1,1.1484393823112802,0.0,2.689582231267182,0.0,5,12265
SeasonalHA,3,1.015958182557622,0.0,1.943902548137346,0.0,5,11878
SeasonalHA,6,0.9103676185940277,0.0,1.5415282255127518,0.0,5,12166
TCN,1,1.1420006854262976,0.08781634797084073,2.444677328695186,0.05970962042616507,5,12265
TCN,3,1.0113314772639779,0.03944625283948613,1.8210400676721625,0.023919389528641023,5,11878
TCN,6,0.937764188574271,0.01731680532415306,1.526148261160258,0.023834435731688364,5,12166
XGBoost,1,0.9735874663398454,0.008037494323705872,2.274291937753976,0.015945862633270615,5,12265
XGBoost,3,0.868904347121866,0.005875650298624657,1.6541220214903674,0.005440890924031189,5,11878
XGBoost,6,0.7866823530346082,0.002785074508068212,1.3505473244133788,0.003076280409139719,5,12166
