phase,file_name,original_path,bytes,readable,non_empty,columns,row_count
phase13,GRU_h1_seed2024.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h1_seed2024.parquet,268060,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,GRU_h1_seed2025.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h1_seed2025.parquet,268228,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,GRU_h1_seed2026.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h1_seed2026.parquet,267488,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,GRU_h1_seed3407.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h1_seed3407.parquet,268140,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,GRU_h1_seed42.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h1_seed42.parquet,268004,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,GRU_h3_seed2024.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h3_seed2024.parquet,264513,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,GRU_h3_seed2025.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h3_seed2025.parquet,264473,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,GRU_h3_seed2026.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h3_seed2026.parquet,264773,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,GRU_h3_seed3407.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h3_seed3407.parquet,264705,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,GRU_h3_seed42.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h3_seed42.parquet,264501,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,GRU_h6_seed2024.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h6_seed2024.parquet,274748,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,GRU_h6_seed2025.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h6_seed2025.parquet,274604,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,GRU_h6_seed2026.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h6_seed2026.parquet,274416,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,GRU_h6_seed3407.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h6_seed3407.parquet,275024,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,GRU_h6_seed42.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h6_seed42.parquet,275056,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,HA_h1_seed2024.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h1_seed2024.parquet,101009,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,HA_h1_seed2025.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h1_seed2025.parquet,101009,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,HA_h1_seed2026.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h1_seed2026.parquet,101009,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,HA_h1_seed3407.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h1_seed3407.parquet,101009,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,HA_h1_seed42.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h1_seed42.parquet,101009,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,HA_h3_seed2024.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h3_seed2024.parquet,109283,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,HA_h3_seed2025.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h3_seed2025.parquet,109283,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,HA_h3_seed2026.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h3_seed2026.parquet,109283,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,HA_h3_seed3407.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h3_seed3407.parquet,109283,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,HA_h3_seed42.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h3_seed42.parquet,109283,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,HA_h6_seed2024.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h6_seed2024.parquet,120399,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,HA_h6_seed2025.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h6_seed2025.parquet,120399,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,HA_h6_seed2026.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h6_seed2026.parquet,120399,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,HA_h6_seed3407.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h6_seed3407.parquet,120399,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
