phase,experiment,level,level_numeric,horizon,seed,test_n,MAE,RMSE,MAPE,sMAPE,R2,reference_MAE,relative_MAE_change_percent
phase16,missingness,0,0.0,1,42,12265,1.1306425526148924,2.459456107874222,0.0152909708462177,0.0149911973784515,0.9764079625495992,1.1306425526148924,0.0
phase16,missingness,10,10.0,1,42,12265,1.8018809926981247,3.478125241319767,0.0264083023736885,0.0247269642468442,0.9528178498451256,1.1306425526148924,59.36787347432013
phase16,missingness,20,20.0,1,42,12265,2.650451832307488,4.768820498168849,0.0407884410318157,0.0369225148914939,0.9113029353937816,1.1306425526148924,134.41996112543777
phase16,missingness,30,30.0,1,42,12265,3.604443600262324,6.19563342615987,0.0568474784446164,0.0499716165195608,0.850287271834566,1.1306425526148924,218.7960325680429
phase16,missingness,0,0.0,1,2024,12265,1.152644129339841,2.482148689164527,0.0155792422860924,0.0151963428875747,0.9759706024035744,1.152644129339841,0.0
phase16,missingness,10,10.0,1,2024,12265,2.0468252905912903,3.6709682718198806,0.0290711155483673,0.0274493854336252,0.9474408227898884,1.152644129339841,77.57651633237204
phase16,missingness,20,20.0,1,2024,12265,3.046949461553226,5.0125335785558445,0.0445469228330828,0.0410939770498114,0.9020054583372292,1.152644129339841,164.34433525448298
phase16,missingness,30,30.0,1,2024,12265,4.196348669905104,6.511312567443803,0.0619940084449991,0.0561404610671218,0.8346423150899022,1.152644129339841,264.0628154943623
phase16,missingness,0,0.0,1,2025,12265,1.27193466059004,2.6342993241397368,0.0167990889920314,0.0164529767536751,0.97293440761146,1.27193466059004,0.0
phase16,missingness,10,10.0,1,2025,12265,1.9268287924616083,3.413568787818356,0.0266960359180562,0.0254109812022845,0.9545530634644585,1.27193466059004,51.48803253523794
phase16,missingness,20,20.0,1,2025,12265,2.807932969943582,4.474597894109453,0.0397684281330213,0.0372436112925049,0.921910017786765,1.27193466059004,120.76078724366272
phase16,missingness,30,30.0,1,2025,12265,3.989566094934625,5.842130028625152,0.0563790686238502,0.0523859450605494,0.8668841609837239,1.27193466059004,213.66124523125245
phase16,missingness,0,0.0,1,2026,12265,1.1632968047274603,2.4694179885160925,0.0156227616047773,0.0153181363160133,0.9762164592088092,1.1632968047274603,0.0
phase16,missingness,10,10.0,1,2026,12265,1.9623146593643608,3.395692485179553,0.0271826617695886,0.0258763284156037,0.9550278134859465,1.1632968047274603,68.68563993211481
phase16,missingness,20,20.0,1,2026,12265,3.044418404785604,4.587992945109381,0.0418036566509666,0.0396442096097174,0.9179019618907196,1.1632968047274603,161.70607470196367
phase16,missingness,30,30.0,1,2026,12265,4.2807513699257465,6.029269941884517,0.0586715343299741,0.0550777739587102,0.8582194185520099,1.1632968047274603,267.9844518208446
phase16,missingness,0,0.0,1,3407,12265,1.3894647571052088,2.705622092972387,0.0189744097008261,0.0186438687030771,0.97144898388454,1.3894647571052088,0.0
phase16,missingness,10,10.0,1,3407,12265,2.228677759586525,3.8199651690381087,0.0322789330769112,0.0303518302337386,0.9430877045977956,1.3894647571052088,60.398293529209134
phase16,missingness,20,20.0,1,3407,12265,3.2210273887301484,5.118292250006,0.0473317336275167,0.0434117507871523,0.8978266915762045,1.3894647571052088,131.81785448382234
phase16,missingness,30,30.0,1,3407,12265,4.356924102105173,6.604137979193435,0.0649014679815677,0.0583353108148157,0.8298940233495543,1.3894647571052088,213.56852196685625
phase16,missingness,0,0.0,3,42,11878,1.1280393443097168,1.889791028370647,0.0149330528555803,0.0147857799542536,0.9858160402096158,1.1280393443097168,0.0
phase16,missingness,10,10.0,3,42,11878,1.7628892895990318,3.001735918972043,0.025701539300579,0.0242801650478009,0.964213857267996,1.1280393443097168,56.27906052140406
phase16,missingness,20,20.0,3,42,11878,2.5697149007604225,4.307885533323955,0.0392164664940575,0.0359379843379994,0.9262947819118028,1.1280393443097168,127.80365895242004
phase16,missingness,30,30.0,3,42,11878,3.522770095461646,5.774833663540695,0.0546007425613137,0.0488356160232193,0.8675509387280222,1.1280393443097168,212.29142079413384
