level,horizon,MAE_mean,relative_MAE_change_mean,n_seeds
0,1,1.2215965808754885,0.0,5
0,3,1.1485541259064218,0.0,5
0,6,1.0806627562969857,0.0,5
10,1,1.9933054989403818,63.50327116065081,5
10,3,1.883130848819227,63.992942334118915,5
10,6,1.8294556510658144,69.39071597396457,5
20,1,2.95415601146401,142.6098025618739,5
20,3,2.852180731555472,148.1918418287891,5
20,6,2.8313514470544554,161.97186000502967,5
30,1,4.085606767426595,235.61461341627168,5
30,3,3.9704144559257424,245.32943179320563,5
30,6,4.003650555351191,270.0334741517371,5
