phase,experiment,level,level_numeric,horizon,seed,test_n,MAE,RMSE,MAPE,sMAPE,R2,reference_MAE,relative_MAE_change_percent
phase16,noise,clean,0.0,1,42,12265,1.1306425526148924,2.459456107874222,0.0152909708462177,0.0149911973784515,0.9764079625495992,1.1306425526148924,0.0
phase16,noise,low,0.05,1,42,12265,1.1747288104810376,2.47373376352106,0.0157958118849153,0.0154964170442193,0.9761332540919636,1.1306425526148924,3.8992215324095776
phase16,noise,medium,0.1,1,42,12265,1.2846357136418078,2.5237133958825364,0.0170666446294072,0.0167685036556314,0.9751590979700366,1.1306425526148924,13.619968633832848
phase16,noise,high,0.15,1,42,12265,1.429240029168236,2.607474060031255,0.0187671949012917,0.0184709872072665,0.9734828228880203,1.1306425526148924,26.409538174798254
phase16,noise,clean,0.0,1,2024,12265,1.152644129339841,2.482148689164527,0.0155792422860924,0.0151963428875747,0.9759706024035744,1.152644129339841,0.0
phase16,noise,low,0.05,1,2024,12265,1.199368464504511,2.5003864197810217,0.0161136588827119,0.0157323490453451,0.9756161903692206,1.152644129339841,4.053665305303784
phase16,noise,medium,0.1,1,2024,12265,1.309879365649653,2.553929903402388,0.0173970820852215,0.0170167394695738,0.9745606949851264,1.152644129339841,13.64126466334982
phase16,noise,high,0.15,1,2024,12265,1.4556474537155455,2.640883051471134,0.0191093130538963,0.0187301618829932,0.9727989521216744,1.152644129339841,26.287673416533607
phase16,noise,clean,0.0,1,2025,12265,1.27193466059004,2.6342993241397368,0.0167990889920314,0.0164529767536751,0.97293440761146,1.27193466059004,0.0
phase16,noise,low,0.05,1,2025,12265,1.312965664745009,2.6482239452239367,0.0172562123154874,0.0169102003160016,0.972647519797735,1.27193466059004,3.225873578752457
phase16,noise,medium,0.1,1,2025,12265,1.4172505725125026,2.6967360051231672,0.0184844357973497,0.0181393728322934,0.9716362163977148,1.27193466059004,11.424793774788055
phase16,noise,high,0.15,1,2025,12265,1.556654247030452,2.777921726914103,0.0201601582183694,0.0198163402374574,0.9699027160817452,1.27193466059004,22.384765134738338
phase16,noise,clean,0.0,1,2026,12265,1.1632968047274603,2.4694179885160925,0.0156227616047773,0.0153181363160133,0.9762164592088092,1.1632968047274603,0.0
phase16,noise,low,0.05,1,2026,12265,1.2064816404545593,2.489095000111847,0.0161305199727198,0.0158233634147789,0.975835921330149,1.1632968047274603,3.7122800949510393
