level,horizon,MAE_mean,relative_MAE_change_mean,n_seeds
clean,1,1.2215965808754885,0.0,5
clean,3,1.1485541259064218,0.0,5
clean,6,1.0806627562969857,0.0,5
high,1,1.5070594015327514,23.619934265861747,5
high,3,1.3658321532522273,18.948207681491077,5
high,6,1.2650446172962255,17.10329415671583,5
low,1,1.263113068317424,3.446820265784692,5
low,3,1.1782345969461396,2.5906027427203027,5
low,6,1.1060049529532627,2.3487054219009758,5
medium,1,1.3676082953209299,12.094787900439844,5
medium,3,1.2567224333635143,9.435586195783465,5
medium,6,1.1720377908732063,8.474909834384206,5
