experiment,level,horizon,n_seeds,ratio_percent
missingness,0,1,5,
missingness,0,3,5,
missingness,0,6,5,
missingness,10,1,5,
missingness,10,3,5,
missingness,10,6,5,
missingness,20,1,5,
missingness,20,3,5,
missingness,20,6,5,
missingness,30,1,5,
missingness,30,3,5,
missingness,30,6,5,
noise,clean,1,5,
noise,clean,3,5,
noise,clean,6,5,
noise,high,1,5,
noise,high,3,5,
noise,high,6,5,
noise,low,1,5,
noise,low,3,5,
noise,low,6,5,
noise,medium,1,5,
noise,medium,3,5,
noise,medium,6,5,
small_sample,,1,5,20.0
small_sample,,3,5,20.0
small_sample,,6,5,20.0
small_sample,,1,5,40.0
small_sample,,3,5,40.0
small_sample,,6,5,40.0
small_sample,,1,5,60.0
small_sample,,3,5,60.0
small_sample,,6,5,60.0
small_sample,,1,5,80.0
small_sample,,3,5,80.0
small_sample,,6,5,80.0
small_sample,,1,5,100.0
small_sample,,3,5,100.0
small_sample,,6,5,100.0
