phase,experiment,ratio_percent,horizon,seed,train_n,val_n,test_n,MAE,RMSE,MAPE,sMAPE,R2,reference_MAE_100_percent,relative_MAE_change_percent
phase16,small_sample,20,1,42,13317,12201,12265,1.454406302071473,2.797706194996748,0.0198695029774472,0.0193999737639851,0.9694724813579764,1.1306425526148924,28.635376291808253
phase16,small_sample,40,1,42,26634,12201,12265,1.289346491226215,2.609673470018524,0.0174077786127847,0.0170162825029967,0.973438069429111,1.1306425526148924,14.036614688194788
phase16,small_sample,60,1,42,39951,12201,12265,1.25895411075012,2.523364643846193,0.0169491960104158,0.0166184794234854,0.9751659630257832,1.1306425526148924,11.348552010401075
phase16,small_sample,80,1,42,53268,12201,12265,1.2327129289368148,2.548555895326247,0.0166803265721062,0.0163146180336525,0.9746676416918264,1.1306425526148924,9.027643271152252
phase16,small_sample,100,1,42,66585,12201,12265,1.1306425526148924,2.459456107874222,0.0152909708462177,0.0149911973784515,0.9764079625495992,1.1306425526148924,0.0
phase16,small_sample,20,1,2024,13317,12201,12265,1.5114802001691865,2.7520470800478245,0.0204529931145345,0.0200496905979876,0.9704607805974772,1.152644129339841,31.13155758099104
phase16,small_sample,40,1,2024,26634,12201,12265,1.3063309498043192,2.610909880572777,0.0178558519369059,0.0174147298447748,0.9734128944549356,1.152644129339841,13.3334145858618
phase16,small_sample,60,1,2024,39951,12201,12265,1.241710765634903,2.544806757387541,0.0168162348554901,0.0164446507835368,0.9747421188873872,1.152644129339841,7.727158281374614
phase16,small_sample,80,1,2024,53268,12201,12265,1.21266471390038,2.5542001502891507,0.0164400655535728,0.0161497155460121,0.9745553109244992,1.152644129339841,5.207208628643663
phase16,small_sample,100,1,2024,66585,12201,12265,1.152644129339841,2.482148689164527,0.0155792422860924,0.0151963428875747,0.9759706024035744,1.152644129339841,0.0
phase16,small_sample,20,1,2025,13317,12201,12265,1.4334823920976567,2.7187056155470195,0.0195582965057948,0.019177751290274,0.9711721890994808,1.27193466059004,12.700945772849364
phase16,small_sample,40,1,2025,26634,12201,12265,1.3265321620376656,2.6378732023867117,0.0177974134921932,0.0174417205356092,0.9728609195717298,1.27193466059004,4.292476896753336
phase16,small_sample,60,1,2025,39951,12201,12265,1.3269066489865426,2.678816737869589,0.0175590468299381,0.0171986737345152,0.9720119072929416,1.27193466059004,4.3219192069977455
phase16,small_sample,80,1,2025,53268,12201,12265,1.3124919278642084,2.6466941303259133,0.0175801117212274,0.0171367144032723,0.972679112401968,1.27193466059004,3.188628200080193
phase16,small_sample,100,1,2025,66585,12201,12265,1.27193466059004,2.6342993241397368,0.0167990889920314,0.0164529767536751,0.97293440761146,1.27193466059004,0.0
phase16,small_sample,20,1,2026,13317,12201,12265,1.497498981057504,2.7394183806796906,0.0203996689660008,0.0200302150549339,0.9707312599868394,1.1632968047274603,28.728882858776643
phase16,small_sample,40,1,2026,26634,12201,12265,1.3919498337855691,2.6568600292887936,0.0190270774462856,0.0186359918411145,0.9724688313730844,1.1632968047274603,19.655605356165157
phase16,small_sample,60,1,2026,39951,12201,12265,1.3086119860568632,2.576664867802493,0.0176911137755381,0.0173208567560198,0.9741057600493948,1.1632968047274603,12.491668569780664
phase16,small_sample,80,1,2026,53268,12201,12265,1.3281685272042625,2.637666423783897,0.0181837778243737,0.0178258379089236,0.9728651741819804,1.1632968047274603,14.17279939279371
phase16,small_sample,100,1,2026,66585,12201,12265,1.1632968047274603,2.4694179885160925,0.0156227616047773,0.0153181363160133,0.9762164592088092,1.1632968047274603,0.0
phase16,small_sample,20,1,3407,13317,12201,12265,1.5288995833772083,2.779018434339223,0.0206687295896517,0.0203491596558076,0.9698789469236035,1.3894647571052088,10.035146667735289
phase16,small_sample,40,1,3407,26634,12201,12265,1.3365011071361816,2.6348518511256485,0.0181951336166741,0.0177690233521005,0.972923052760211,1.3894647571052088,-3.8118023287881626
phase16,small_sample,60,1,3407,39951,12201,12265,1.2937237949114744,2.579622027846351,0.0173724146678265,0.0170587575611162,0.9740462898767732,1.3894647571052088,-6.890492306778603
phase16,small_sample,80,1,3407,53268,12201,12265,1.3161910468007028,2.6492536260507507,0.017855243192323,0.0176109350340359,0.9726262453130762,1.3894647571052088,-5.273520607831999
phase16,small_sample,100,1,3407,66585,12201,12265,1.3894647571052088,2.705622092972387,0.0189744097008261,0.0186438687030771,0.97144898388454,1.3894647571052088,0.0
phase16,small_sample,20,3,42,12956,11601,11878,1.377582179273614,2.2281546898422877,0.018621714443389,0.0183113585792714,0.9802821025930348,1.1280393443097168,22.1218201495091
phase16,small_sample,40,3,42,25913,11601,11878,1.2160046963323183,2.026938134797779,0.0162950557248599,0.0161094042467683,0.9836826017665944,1.1280393443097168,7.798074815948055
phase16,small_sample,60,3,42,38869,11601,11878,1.160820452607748,1.9465843679969077,0.0155336401648571,0.0153185351927136,0.984950696920366,1.1280393443097168,2.9060252608556807
phase16,small_sample,80,3,42,51826,11601,11878,1.1292784519519925,1.9215708244078389,0.0151728368002047,0.0149410938259687,0.9853349780305948,1.1280393443097168,0.109846136885766
phase16,small_sample,100,3,42,64783,11601,11878,1.1280393443097168,1.889791028370647,0.0149330528555803,0.0147857799542536,0.9858160402096158,1.1280393443097168,0.0
phase16,small_sample,20,3,2024,12956,11601,11878,1.3562021303666645,2.135997171255003,0.0182550100817468,0.0180253980201965,0.9818794543091712,1.0965016664208578,23.68445684113795
phase16,small_sample,40,3,2024,25913,11601,11878,1.2331436041289054,1.9983024623964107,0.016485463503397,0.0163145284236664,0.9841403947744988,1.0965016664208578,12.461626087087216
phase16,small_sample,60,3,2024,38869,11601,11878,1.1656983652225668,1.9204363006830665,0.0154900002417333,0.0153614230894916,0.9853522898085753,1.0965016664208578,6.310678854467878
phase16,small_sample,80,3,2024,51826,11601,11878,1.1160929463571685,1.8941012109705109,0.0148139941636887,0.0146366083909359,0.9857512656670468,1.0965016664208578,1.7867077211345517
phase16,small_sample,100,3,2024,64783,11601,11878,1.0965016664208578,1.8306693949955424,0.0143524249590848,0.0142896185323015,0.986689641041056,1.0965016664208578,0.0
