ratio_percent,horizon,MAE_mean,relative_MAE_change_mean,n_seeds
20,1,1.4851534917546059,22.246381834432118,5
20,3,1.3762129455568977,19.909701544790742,5
20,6,1.3313456630502976,23.324072957043573,5
40,1,1.33013210879799,9.501261839637383,5
40,3,1.2535623997464929,9.181925722681445,5
40,6,1.212905933142453,12.185007094285691,5
60,1,1.2859814612679805,5.7997611523550985,5
60,3,1.221300349706832,6.292867121001167,5
60,6,1.1201868352932345,3.6751425817497223,5
80,1,1.2804458289412737,5.264551776967563,5
80,3,1.1688209155047857,1.7428563922771363,5
80,6,1.1575456670999096,6.960189723111628,5
100,1,1.2215965808754885,0.0,5
100,3,1.1485541259064218,0.0,5
100,6,1.0806627562969857,0.0,5
