dataset,phase,model,model_note,horizon,seed,history_hours,aggregation,sensor_count,train_n,val_n,test_n,MAE,RMSE,MAPE,sMAPE,R2,fit_time_sec,inference_time_sec,config_hash,data_hash
METR-LA-mini,phase20,HA,external sanity check; not SOTA benchmark,1,42,24,1h,50,98700,20150,20200,5.591034898474665,9.491157885122748,0.159258796346175,0.116680743264562,0.3669087967954032,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Persistence,external sanity check; not SOTA benchmark,1,42,24,1h,50,98700,20150,20200,3.213089498010012,6.806321891697,0.0787864567215864,0.0724793707729137,0.6744236486076459,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,TCN,external sanity check; not SOTA benchmark,1,42,24,1h,50,98700,20150,20200,2.8168352868297317,5.446140897004612,0.0726957037770687,0.0626308465990991,0.7915482100422998,163.66127359995153,0.2691395999863744,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,ST-Transformer-lite,external sanity check; not SOTA benchmark,1,42,24,1h,50,98700,20150,20200,3.298271263519136,6.380231568026823,0.0883816252517212,0.0741009913445466,0.7139112591458846,134.61716210003942,0.5914640999981202,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Proposed,Proposed is the Phase 13 main model architecture alias: TCN,1,42,24,1h,50,98700,20150,20200,2.8168352868297317,5.446140897004612,0.0726957037770687,0.0626308465990991,0.7915482100422998,156.26489759999097,0.1955117000034079,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,HA,external sanity check; not SOTA benchmark,1,2024,24,1h,50,98700,20150,20200,5.591034898474665,9.491157885122748,0.159258796346175,0.116680743264562,0.3669087967954032,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Persistence,external sanity check; not SOTA benchmark,1,2024,24,1h,50,98700,20150,20200,3.213089498010012,6.806321891697,0.0787864567215864,0.0724793707729137,0.6744236486076459,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,TCN,external sanity check; not SOTA benchmark,1,2024,24,1h,50,98700,20150,20200,2.805095630400252,5.460543079889218,0.0742197330844503,0.0627512295819061,0.790444261236023,166.26393690000987,0.1746586999506689,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,ST-Transformer-lite,external sanity check; not SOTA benchmark,1,2024,24,1h,50,98700,20150,20200,2.894165266339141,5.576408528954538,0.0744135757333711,0.0642457155039253,0.7814569253959385,195.40063560003185,0.3971249000169337,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Proposed,Proposed is the Phase 13 main model architecture alias: TCN,1,2024,24,1h,50,98700,20150,20200,2.805095630400252,5.460543079889218,0.0742197330844503,0.0627512295819061,0.790444261236023,81.3668690000195,0.1684600000153295,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,HA,external sanity check; not SOTA benchmark,1,2025,24,1h,50,98700,20150,20200,5.591034898474665,9.491157885122748,0.159258796346175,0.116680743264562,0.3669087967954032,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Persistence,external sanity check; not SOTA benchmark,1,2025,24,1h,50,98700,20150,20200,3.213089498010012,6.806321891697,0.0787864567215864,0.0724793707729137,0.6744236486076459,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,TCN,external sanity check; not SOTA benchmark,1,2025,24,1h,50,98700,20150,20200,2.7905283193304986,5.457044678061667,0.0729676273288394,0.062149971720797,0.7907126870420952,80.40965940000024,0.1672943999874405,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,ST-Transformer-lite,external sanity check; not SOTA benchmark,1,2025,24,1h,50,98700,20150,20200,2.8849653457414988,5.564767327635426,0.0760552654786456,0.0641183714324345,0.7823684254786101,194.7460729999584,0.3904360000160523,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Proposed,Proposed is the Phase 13 main model architecture alias: TCN,1,2025,24,1h,50,98700,20150,20200,2.7905283193304986,5.457044678061667,0.0729676273288394,0.062149971720797,0.7907126870420952,143.364227699989,0.2096113000297919,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,HA,external sanity check; not SOTA benchmark,1,2026,24,1h,50,98700,20150,20200,5.591034898474665,9.491157885122748,0.159258796346175,0.116680743264562,0.3669087967954032,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Persistence,external sanity check; not SOTA benchmark,1,2026,24,1h,50,98700,20150,20200,3.213089498010012,6.806321891697,0.0787864567215864,0.0724793707729137,0.6744236486076459,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,TCN,external sanity check; not SOTA benchmark,1,2026,24,1h,50,98700,20150,20200,2.8192962060116304,5.454106189996587,0.0731236597929674,0.0626877610889774,0.7909380187845793,173.0440502000274,0.2781933000078425,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,ST-Transformer-lite,external sanity check; not SOTA benchmark,1,2026,24,1h,50,98700,20150,20200,2.9282079025306325,5.534700342029477,0.0753896453484818,0.0646266139343419,0.7847138416940093,264.56822270003613,0.679340599977877,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Proposed,Proposed is the Phase 13 main model architecture alias: TCN,1,2026,24,1h,50,98700,20150,20200,2.8192962060116304,5.454106189996587,0.0731236597929674,0.0626877610889774,0.7909380187845793,173.53139989997726,0.174108300008811,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,HA,external sanity check; not SOTA benchmark,1,3407,24,1h,50,98700,20150,20200,5.591034898474665,9.491157885122748,0.159258796346175,0.116680743264562,0.3669087967954032,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Persistence,external sanity check; not SOTA benchmark,1,3407,24,1h,50,98700,20150,20200,3.213089498010012,6.806321891697,0.0787864567215864,0.0724793707729137,0.6744236486076459,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,TCN,external sanity check; not SOTA benchmark,1,3407,24,1h,50,98700,20150,20200,2.8239175165761816,5.419658530023569,0.0722231798845033,0.06261230900528,0.7935705136973759,172.12744750001002,0.2704784999950789,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,ST-Transformer-lite,external sanity check; not SOTA benchmark,1,3407,24,1h,50,98700,20150,20200,3.0637050030019024,5.759431838285415,0.0780690294613289,0.0679259462034076,0.7668759019451434,260.4705857000081,0.5364107000059448,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Proposed,Proposed is the Phase 13 main model architecture alias: TCN,1,3407,24,1h,50,98700,20150,20200,2.8239175165761816,5.419658530023569,0.0722231798845033,0.06261230900528,0.7935705136973759,206.75902970001331,0.3570685999584384,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,HA,external sanity check; not SOTA benchmark,3,42,24,1h,50,98600,20050,20100,5.595527209950917,9.503428974581972,0.1596610710122457,0.1168458788848799,0.3675263274626658,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
