model,horizon,MAE_mean,MAE_std,RMSE_mean,RMSE_std,n_seeds
HA,1,5.591034898474665,0.0,9.491157885122748,0.0,5
HA,3,5.595527209950917,0.0,9.503428974581972,0.0,5
HA,6,5.5898292907676606,0.0,9.495127010942282,0.0,5
Persistence,1,3.2130894980100124,0.0,6.806321891697,0.0,5
Persistence,3,6.3192616467452165,0.0,11.74912940588088,0.0,5
Persistence,6,7.777251121501875,0.0,13.520325415030134,0.0,5
Proposed,1,2.811134591829659,0.01344991223084738,5.44749867499513,0.016445813762100515,5
Proposed,3,4.078469730661876,0.09750519085657455,7.354339828161059,0.104017885930802,5
Proposed,6,4.102863878274023,0.026015087573070368,7.387143376077995,0.05246176926629208,5
ST-Transformer-lite,1,3.013862956226462,0.1743926848097271,5.763107920986336,0.3560971726233385,5
ST-Transformer-lite,3,4.310666233461295,0.5860912542680777,7.705894743465424,0.8161911987972211,5
ST-Transformer-lite,6,4.349739634865209,0.6293776797427124,7.811170308154954,0.9070218624183556,5
TCN,1,2.811134591829659,0.01344991223084738,5.44749867499513,0.016445813762100515,5
TCN,3,4.078469730661876,0.09750519085657455,7.354339828161059,0.104017885930802,5
TCN,6,4.102863878274023,0.026015087573070368,7.387143376077995,0.05246176926629208,5
