model,horizon,MAE_mean,MAE_std,n_seeds
HA,1,5.591034898474665,0.0,5
HA,3,5.595527209950917,0.0,5
HA,6,5.5898292907676606,0.0,5
Persistence,1,3.2130894980100124,0.0,5
Persistence,3,6.3192616467452165,0.0,5
Persistence,6,7.777251121501875,0.0,5
Proposed,1,2.811134591829659,0.01344991223084738,5
Proposed,3,4.078469730661876,0.09750519085657455,5
Proposed,6,4.102863878274023,0.026015087573070368,5
ST-Transformer-lite,1,3.013862956226462,0.1743926848097271,5
ST-Transformer-lite,3,4.310666233461295,0.5860912542680777,5
ST-Transformer-lite,6,4.349739634865209,0.6293776797427124,5
TCN,1,2.811134591829659,0.01344991223084738,5
TCN,3,4.078469730661876,0.09750519085657455,5
TCN,6,4.102863878274023,0.026015087573070368,5
