path,sha256,bytes
00_READ_FIRST\GPT_FIRST_REVIEW_SUMMARY.md,ccfbb9e32e4afe40f34748a6c268bf9bfa389af606803ed81b8a8bd46dd37f0e,817
00_READ_FIRST\PACKAGE_MASTER_INDEX.csv,a1361ad4ce0a2f511f37665f2dd141483140b3c657557626f8aec26489ee3099,122540
00_READ_FIRST\README_FOR_GPT.md,7554f92a6469ab160acc3a357fe47e3ec14e45103c3ab077d5f27f12a601ea23,1637
01_FIGURE_CANDIDATE_DATA\Fig01_candidate_data\coverage_by_granularity.csv,75fcd6711b33f5be9e891f8e06e95cd8f8f469760ae98b6a5d3d94007f787148,855
01_FIGURE_CANDIDATE_DATA\Fig01_candidate_data\data_inventory.csv,3f78b15851a7adf300d450b6928088f3501fb16fe691d0b6b6c268fec65c92a0,11728
01_FIGURE_CANDIDATE_DATA\Fig01_candidate_data\Fig01_data_dictionary.csv,931a41722fb605bbd425ec7bc6374d7f2efc66827e79118ce6c7a700047742d3,5837
01_FIGURE_CANDIDATE_DATA\Fig01_candidate_data\Fig01_file_inventory.csv,77340e3337aa224093e7671f1d1edf54af25f27702ca63b42396f1c712011798,1422
01_FIGURE_CANDIDATE_DATA\Fig01_candidate_data\Fig01_readiness_notes.md,f5ef5b5270a965c182b8f03d6e8b36e768be99932333c140a2890e64cdefea6b,257
01_FIGURE_CANDIDATE_DATA\Fig01_candidate_data\Fig01_workflow_data.csv,8be65d1d3f2405e1434c48d004a8d3e906e2c0bc2492b677b8fd53b5ad36f77a,4048
01_FIGURE_CANDIDATE_DATA\Fig01_candidate_data\train_val_test_split_summary.csv,f9dbf5e106b5d3585137a44f75a8883d94b2fbe1408eee439f7df2db79dbae3b,231
01_FIGURE_CANDIDATE_DATA\Fig02_candidate_data\Fig02_data_dictionary.csv,4a6d490adba8147dda820d0130b5d01ebfa8ab0ed515ff41dcb8c8dcdac71583,7744
01_FIGURE_CANDIDATE_DATA\Fig02_candidate_data\Fig02_file_inventory.csv,04d5f22462d7013dc2ad19b7343a5714280f446c942e4162c340f3865ffb80d6,1667
01_FIGURE_CANDIDATE_DATA\Fig02_candidate_data\Fig02_readiness_notes.md,3dd63da240ce8f1f1c8c36f029dc9ac4f37fcb3f91f92469eb454e2f2f74dee7,188
01_FIGURE_CANDIDATE_DATA\Fig02_candidate_data\Figure2_strong_baseline_mean_std.csv,f2f3b0f70811556aebfd1cbf0c7332184f5fbefbf6df7b43dbf962065bee647f,3095
01_FIGURE_CANDIDATE_DATA\Fig02_candidate_data\phase13_strong_baseline_metrics.csv,fe0ed0cef3a4d373bc755cba62fa167ca38203115881d248c98a0fa3561d2ffe,42073
01_FIGURE_CANDIDATE_DATA\Fig02_candidate_data\phase14_final_mean_std_summary.csv,0acbd7867304a5d1c31cd6dcebb86a3736a97512ccd46490a131a1af9b51510b,3038
01_FIGURE_CANDIDATE_DATA\Fig02_candidate_data\phase14_main_model_statistical_tests.csv,c1bcb6f83081c1c072f19523c90cc5532e1b844d2d0c7f82f0afd3bc5ba513a3,4582
01_FIGURE_CANDIDATE_DATA\Fig03_candidate_data\Fig03_data_dictionary.csv,269b3449413bfeef73012ef7ac31e1d920846e91b58bbaf1b3ed20807b878c2e,7275
01_FIGURE_CANDIDATE_DATA\Fig03_candidate_data\Fig03_file_inventory.csv,8ca77867e54946e33425bb031f3d077c72db1e5efd7ddfbbfcfa4ed35eae69ac,1609
01_FIGURE_CANDIDATE_DATA\Fig03_candidate_data\Fig03_readiness_notes.md,05ff28b5a787d21a6f19fcad70c5f441e7dbb4832005d3798b7d17722ccc47ca,175
01_FIGURE_CANDIDATE_DATA\Fig03_candidate_data\Figure3_seed_stability_source.csv,85ad24fe58b842630bf492c3f738a4f32790d52b6b78402ff4c7c6a971fb636b,9645
01_FIGURE_CANDIDATE_DATA\Fig03_candidate_data\phase13_strong_baseline_metrics.csv,fe0ed0cef3a4d373bc755cba62fa167ca38203115881d248c98a0fa3561d2ffe,42073
01_FIGURE_CANDIDATE_DATA\Fig03_candidate_data\phase14_final_mean_std_summary.csv,0acbd7867304a5d1c31cd6dcebb86a3736a97512ccd46490a131a1af9b51510b,3038
01_FIGURE_CANDIDATE_DATA\Fig03_candidate_data\phase14_main_model_statistical_tests.csv,c1bcb6f83081c1c072f19523c90cc5532e1b844d2d0c7f82f0afd3bc5ba513a3,4582
01_FIGURE_CANDIDATE_DATA\Fig04_candidate_data\Fig04_data_dictionary.csv,4a450a5fac6e06a935d184ddec3463735925fa2a1b081f82e5ecf0969126e209,6728
01_FIGURE_CANDIDATE_DATA\Fig04_candidate_data\Fig04_file_inventory.csv,182810ad6df82d09ede445f3a997c15bfb1d6d5138fd3e15ba3a8f08acfa667b,1494
01_FIGURE_CANDIDATE_DATA\Fig04_candidate_data\Fig04_readiness_notes.md,ee3f5468285aff7647620a32dc856cff36300f19704122b757504c57c0a8101f,174
01_FIGURE_CANDIDATE_DATA\Fig04_candidate_data\Figure4_feature_ablation_mean_std.csv,e004214bd232c7b3da3aa70c624dc1dc194577849afb301697f7b10b7501f4a1,2044
01_FIGURE_CANDIDATE_DATA\Fig04_candidate_data\phase14_feature_ablation_statistical_tests.csv,298c455135dcf5155707740d0657a258d48afda77fee131a6227abedf4d1ddaf,2826
01_FIGURE_CANDIDATE_DATA\Fig04_candidate_data\phase15_feature_ablation_metrics.csv,ef8395b6bb37b52400ada12c2baa11ff4b9957c29f66432c68917b5dd3ffac9f,25225
01_FIGURE_CANDIDATE_DATA\Fig05_candidate_data\Fig05_data_dictionary.csv,0afb1173a6249e98a1d8c2b868fb18889df74d4c2b21be69eeae27f123739b3b,5489
01_FIGURE_CANDIDATE_DATA\Fig05_candidate_data\Fig05_file_inventory.csv,d0aa5f4516f311ac3daf317347b8580aef0fac11b3fa0ef9021ccf34c8777b4b,1250
01_FIGURE_CANDIDATE_DATA\Fig05_candidate_data\Fig05_readiness_notes.md,a2bcbf8576995cf6e269eb3c05b92d96203f18ecb2c17c03f87dddd642f67332,202
01_FIGURE_CANDIDATE_DATA\Fig05_candidate_data\Fig05_stratified_error.csv,d43f9ec838434f6e21d3932c95d53f55cf13e3215bfc9f369255033d69a1a6f7,59107
01_FIGURE_CANDIDATE_DATA\Fig05_candidate_data\phase14_stratified_statistical_tests.csv,9ab89df5b92d5fe81715dd65312b7ba85500222e92d58b13fd81f9f91a40432f,1846
01_FIGURE_CANDIDATE_DATA\Fig05_candidate_data\phase17_combined_stratified_summary.csv,a1c74cef2508b47545936cad38ab2d5f3504b2a459399a0fcd5d0deb055fd24a,3774
01_FIGURE_CANDIDATE_DATA\Fig06_candidate_data\Fig06_data_dictionary.csv,431fbbdf79442c4e7936e4e2c51c7d4cb24b246a7b2ba6ffc580fcb4ec51c078,3767
01_FIGURE_CANDIDATE_DATA\Fig06_candidate_data\Fig06_error_heterogeneity_summary.csv,12538fdafba601bef4c8d86b8cf5fc4184e1491cfcc7dbc4b040712db3ec4c83,2992
01_FIGURE_CANDIDATE_DATA\Fig06_candidate_data\Fig06_file_inventory.csv,5404eea13748daf4470d3505c43f8dc56d77eda8ffc3cb17d7371edbaa6195f6,1180
01_FIGURE_CANDIDATE_DATA\Fig06_candidate_data\Fig06_readiness_notes.md,afe1d557ad039cba0395041bfd15f00cbe63d8b4665f06b01b97f3ca34df4e43,180
01_FIGURE_CANDIDATE_DATA\Fig06_candidate_data\final_stratified_interpretation.csv,12538fdafba601bef4c8d86b8cf5fc4184e1491cfcc7dbc4b040712db3ec4c83,2992
01_FIGURE_CANDIDATE_DATA\Fig06_candidate_data\phase17_combined_stratified_summary.csv,a1c74cef2508b47545936cad38ab2d5f3504b2a459399a0fcd5d0deb055fd24a,3774
01_FIGURE_CANDIDATE_DATA\Fig07_candidate_data\Fig07_data_dictionary.csv,e215e3fa09a506934f7080b92a866d2b601c58229dbf4231cc8d560b0d15cbfe,9381
01_FIGURE_CANDIDATE_DATA\Fig07_candidate_data\Fig07_file_inventory.csv,986494e9e5ca2cf969cce46ca5650f6e58ad9cf56d49ec7302ddb338b7600b59,1947
01_FIGURE_CANDIDATE_DATA\Fig07_candidate_data\Fig07_readiness_notes.md,59baf5150cd0585dc59ee0e7dc3a3cf4433f421b1cdfb4c3574ee5447d7cd5ae,182
