phase,file_name,readable,non_empty,row_count
phase13,GRU_h1_seed2024.parquet,True,True,12265
phase13,GRU_h1_seed2025.parquet,True,True,12265
phase13,GRU_h1_seed2026.parquet,True,True,12265
phase13,GRU_h1_seed3407.parquet,True,True,12265
phase13,GRU_h1_seed42.parquet,True,True,12265
phase13,GRU_h3_seed2024.parquet,True,True,11878
phase13,GRU_h3_seed2025.parquet,True,True,11878
phase13,GRU_h3_seed2026.parquet,True,True,11878
phase13,GRU_h3_seed3407.parquet,True,True,11878
phase13,GRU_h3_seed42.parquet,True,True,11878
phase13,GRU_h6_seed2024.parquet,True,True,12166
phase13,GRU_h6_seed2025.parquet,True,True,12166
phase13,GRU_h6_seed2026.parquet,True,True,12166
phase13,GRU_h6_seed3407.parquet,True,True,12166
phase13,GRU_h6_seed42.parquet,True,True,12166
phase13,HA_h1_seed2024.parquet,True,True,12265
phase13,HA_h1_seed2025.parquet,True,True,12265
phase13,HA_h1_seed2026.parquet,True,True,12265
phase13,HA_h1_seed3407.parquet,True,True,12265
phase13,HA_h1_seed42.parquet,True,True,12265
phase13,HA_h3_seed2024.parquet,True,True,11878
phase13,HA_h3_seed2025.parquet,True,True,11878
phase13,HA_h3_seed2026.parquet,True,True,11878
phase13,HA_h3_seed3407.parquet,True,True,11878
phase13,HA_h3_seed42.parquet,True,True,11878
phase13,HA_h6_seed2024.parquet,True,True,12166
phase13,HA_h6_seed2025.parquet,True,True,12166
phase13,HA_h6_seed2026.parquet,True,True,12166
phase13,HA_h6_seed3407.parquet,True,True,12166
phase13,HA_h6_seed42.parquet,True,True,12166
phase13,Persistence_h1_seed2024.parquet,True,True,12265
phase13,Persistence_h1_seed2025.parquet,True,True,12265
phase13,Persistence_h1_seed2026.parquet,True,True,12265
phase13,Persistence_h1_seed3407.parquet,True,True,12265
phase13,Persistence_h1_seed42.parquet,True,True,12265
phase13,Persistence_h3_seed2024.parquet,True,True,11878
phase13,Persistence_h3_seed2025.parquet,True,True,11878
phase13,Persistence_h3_seed2026.parquet,True,True,11878
phase13,Persistence_h3_seed3407.parquet,True,True,11878
phase13,Persistence_h3_seed42.parquet,True,True,11878
phase13,Persistence_h6_seed2024.parquet,True,True,12166
phase13,Persistence_h6_seed2025.parquet,True,True,12166
phase13,Persistence_h6_seed2026.parquet,True,True,12166
phase13,Persistence_h6_seed3407.parquet,True,True,12166
phase13,Persistence_h6_seed42.parquet,True,True,12166
phase13,SeasonalHA_h1_seed2024.parquet,True,True,12265
phase13,SeasonalHA_h1_seed2025.parquet,True,True,12265
phase13,SeasonalHA_h1_seed2026.parquet,True,True,12265
phase13,SeasonalHA_h1_seed3407.parquet,True,True,12265
phase13,SeasonalHA_h1_seed42.parquet,True,True,12265
phase13,SeasonalHA_h3_seed2024.parquet,True,True,11878
phase13,SeasonalHA_h3_seed2025.parquet,True,True,11878
phase13,SeasonalHA_h3_seed2026.parquet,True,True,11878
phase13,SeasonalHA_h3_seed3407.parquet,True,True,11878
phase13,SeasonalHA_h3_seed42.parquet,True,True,11878
phase13,SeasonalHA_h6_seed2024.parquet,True,True,12166
phase13,SeasonalHA_h6_seed2025.parquet,True,True,12166
phase13,SeasonalHA_h6_seed2026.parquet,True,True,12166
phase13,SeasonalHA_h6_seed3407.parquet,True,True,12166
phase13,SeasonalHA_h6_seed42.parquet,True,True,12166
phase13,ST-Transformer-lite_h1_seed2024.parquet,True,True,12265
phase13,ST-Transformer-lite_h1_seed2025.parquet,True,True,12265
phase13,ST-Transformer-lite_h1_seed2026.parquet,True,True,12265
phase13,ST-Transformer-lite_h1_seed3407.parquet,True,True,12265
phase13,ST-Transformer-lite_h1_seed42.parquet,True,True,12265
phase13,ST-Transformer-lite_h3_seed2024.parquet,True,True,11878
phase13,ST-Transformer-lite_h3_seed2025.parquet,True,True,11878
phase13,ST-Transformer-lite_h3_seed2026.parquet,True,True,11878
phase13,ST-Transformer-lite_h3_seed3407.parquet,True,True,11878
phase13,ST-Transformer-lite_h3_seed42.parquet,True,True,11878
phase13,ST-Transformer-lite_h6_seed2024.parquet,True,True,12166
phase13,ST-Transformer-lite_h6_seed2025.parquet,True,True,12166
phase13,ST-Transformer-lite_h6_seed2026.parquet,True,True,12166
phase13,ST-Transformer-lite_h6_seed3407.parquet,True,True,12166
phase13,ST-Transformer-lite_h6_seed42.parquet,True,True,12166
phase13,TCN_h1_seed2024.parquet,True,True,12265
phase13,TCN_h1_seed2025.parquet,True,True,12265
phase13,TCN_h1_seed2026.parquet,True,True,12265
phase13,TCN_h1_seed3407.parquet,True,True,12265
phase13,TCN_h1_seed42.parquet,True,True,12265
phase13,TCN_h3_seed2024.parquet,True,True,11878
phase13,TCN_h3_seed2025.parquet,True,True,11878
phase13,TCN_h3_seed2026.parquet,True,True,11878
phase13,TCN_h3_seed3407.parquet,True,True,11878
phase13,TCN_h3_seed42.parquet,True,True,11878
phase13,TCN_h6_seed2024.parquet,True,True,12166
phase13,TCN_h6_seed2025.parquet,True,True,12166
phase13,TCN_h6_seed2026.parquet,True,True,12166
phase13,TCN_h6_seed3407.parquet,True,True,12166
phase13,TCN_h6_seed42.parquet,True,True,12166
phase13,XGBoost_h1_seed2024.parquet,True,True,12265
phase13,XGBoost_h1_seed2025.parquet,True,True,12265
phase13,XGBoost_h1_seed2026.parquet,True,True,12265
phase13,XGBoost_h1_seed3407.parquet,True,True,12265
phase13,XGBoost_h1_seed42.parquet,True,True,12265
phase13,XGBoost_h3_seed2024.parquet,True,True,11878
phase13,XGBoost_h3_seed2025.parquet,True,True,11878
phase13,XGBoost_h3_seed2026.parquet,True,True,11878
phase13,XGBoost_h3_seed3407.parquet,True,True,11878
phase13,XGBoost_h3_seed42.parquet,True,True,11878
phase13,XGBoost_h6_seed2024.parquet,True,True,12166
phase13,XGBoost_h6_seed2025.parquet,True,True,12166
phase13,XGBoost_h6_seed2026.parquet,True,True,12166
phase13,XGBoost_h6_seed3407.parquet,True,True,12166
phase13,XGBoost_h6_seed42.parquet,True,True,12166
phase15,full_features_h1_seed2024.parquet,True,True,12265
phase15,full_features_h1_seed2025.parquet,True,True,12265
phase15,full_features_h1_seed2026.parquet,True,True,12265
phase15,full_features_h1_seed3407.parquet,True,True,12265
phase15,full_features_h1_seed42.parquet,True,True,12265
phase15,full_features_h3_seed2024.parquet,True,True,11878
phase15,full_features_h3_seed2025.parquet,True,True,11878
phase15,full_features_h3_seed2026.parquet,True,True,11878
phase15,full_features_h3_seed3407.parquet,True,True,11878
