file_name,column_name,data_type,description,unit,allowed_values_or_range,missing_value_rule,notes
data/processed/coverage_by_point.csv,point_id,object,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/coverage_by_point.csv,record_rows,int64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/coverage_by_point.csv,first_time,object,timestamp or date field,datetime,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/coverage_by_point.csv,last_time,object,timestamp or date field,datetime,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/coverage_by_point.csv,global_expected_steps,int64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/coverage_by_point.csv,point_expected_steps,int64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/coverage_by_point.csv,observed_steps,int64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/coverage_by_point.csv,coverage_ratio,float64,ratio or percentage variable,proportion or percent,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/coverage_by_point.csv,duplicate_timestamp_rows,int64,timestamp or date field,datetime,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/coverage_by_point.csv,speed_anomaly_count,int64,traffic speed variable or speed-derived metric,speed units,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/coverage_by_point.csv,travel_time_anomaly_count,int64,timestamp or date field,datetime,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/coverage_by_point.csv,congestion_anomaly_count,int64,"count of records, windows, or samples",count,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/coverage_by_point.csv,coverage_group,object,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/coverage_by_point.csv,max_consecutive_missing_steps,int64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
