seed,horizon_hours,history_hours,improvement_percent_vs_seasonal,outperforms_seasonal,horizon_label,zero_reference
42,1,72,21.82867173190512,True,1h,0.0
2025,1,72,8.368010177752701,True,1h,0.0
20260623,1,72,12.811673188041777,True,1h,0.0
42,3,168,4.059253416256415,True,3h,0.0
2025,3,168,14.619750879080344,True,3h,0.0
20260623,3,168,6.444461721533644,True,3h,0.0
42,6,24,5.515619880274297,True,6h,0.0
2025,6,24,9.43126000421838,True,6h,0.0
20260623,6,24,14.143684364573907,True,6h,0.0
1234,1,72,18.381693676670228,True,1h,0.0
3407,1,72,23.994807041607512,True,1h,0.0
1234,3,168,13.64492186686094,True,3h,0.0
3407,3,168,16.679880334890512,True,3h,0.0
1234,6,24,11.043878521572102,True,6h,0.0
3407,6,24,4.109691034177205,True,6h,0.0
