horizon_hours,volatility_bin,n,MAE,RMSE,sMAPE,horizon_label,volatility_label,volatility_order,high_vs_low_flag
1,q1_low,1970,0.5423794238095356,2.0696608876179656,0.0059564612521195,1h,q1_low,1,low
1,q2_mid_low,3124,0.4216173430868972,1.721595625381342,0.0048446135430687,1h,q2_mid_low,2,middle
1,q3_mid_high,2845,0.9762140659540106,3.1695874753945104,0.010666331948177,1h,q3_mid_high,3,middle
1,q4_high,2388,1.8069153463021796,2.7162353969810216,0.0310974907264299,1h,q4_high,4,high
3,q1_low,868,0.4798772258143271,0.928838341448424,0.0051396949846708,3h,q1_low,1,low
3,q2_mid_low,2477,0.4948903770277372,1.2429161096522428,0.0056120382162506,3h,q2_mid_low,2,middle
3,q3_mid_high,1608,0.93889363132306,1.8477244007018463,0.0097900847267385,3h,q3_mid_high,3,middle
3,q4_high,1359,1.9744524699611816,2.688632632651081,0.0335701321457051,3h,q4_high,4,high
6,q1_low,4364,0.3339088266863941,0.8322343002316538,0.0039620913573719,6h,q1_low,1,low
6,q2_mid_low,1600,0.7023101282119751,1.384474883721183,0.008837926926903,6h,q2_mid_low,2,middle
6,q3_mid_high,2748,0.7677419681909997,1.5215474685244397,0.0084171381939762,6h,q3_mid_high,3,middle
6,q4_high,3454,1.5062378395756475,2.168535906594198,0.0245470208609782,6h,q4_high,4,high
