history_hours,horizon_hours,missing_level,n,MAE,RMSE,sMAPE,horizon_label,perturbation_type,perturbation_level,baseline_MAE_at_zero,MAE_increase_vs_zero,MAE_increase_percent_vs_zero
72,1,0.0,10327,0.9177750468981328,2.487460034798854,0.0127312214217585,1h,missingness,0.0,0.9177750468981328,0.0,0.0
72,1,0.05,10327,0.927544870392286,2.52031728434522,0.0129002949175049,1h,missingness,0.05,0.9177750468981328,0.009769823494153118,1.0645117806561488
72,1,0.1,10327,0.9336583325993788,2.519557830575423,0.0129754438224019,1h,missingness,0.1,0.9177750468981328,0.015883285701245975,1.7306294995628617
72,1,0.2,10327,0.9912772868948684,2.6314298165620014,0.0138910012994763,1h,missingness,0.2,0.9177750468981328,0.07350223999673555,8.008742474003418
168,3,0.0,6312,0.9244928329767534,1.7751070216475533,0.0126309473597839,3h,missingness,0.0,0.9244928329767534,0.0,0.0
168,3,0.05,6312,0.9367327055550346,1.8021596708261405,0.0128492531620187,3h,missingness,0.05,0.9244928329767534,0.012239872578281186,1.3239553776604518
168,3,0.1,6312,0.9520045263534566,1.8352417316181129,0.0130917602280055,3h,missingness,0.1,0.9244928329767534,0.027511693376703117,2.9758687569398283
168,3,0.2,6312,0.981114484813579,1.9114325209994831,0.0135809613173094,3h,missingness,0.2,0.9244928329767534,0.05662165183682555,6.124617716560418
24,6,0.0,12166,0.8131822087195247,1.5357516547773626,0.0114538020366169,6h,missingness,0.0,0.8131822087195247,0.0,0.0
24,6,0.05,12166,0.82088709575221,1.5496699596524377,0.0115798576984997,6h,missingness,0.05,0.8131822087195247,0.007704887032685237,0.947498229802361
24,6,0.1,12166,0.8384068103560135,1.5894677319658794,0.011885948827084,6h,missingness,0.1,0.8131822087195247,0.025224601636488764,3.101961819382229
24,6,0.2,12166,0.8842474526526523,1.6998593565265072,0.012639958432049,6h,missingness,0.2,0.8131822087195247,0.07106524393312752,8.739153804782598
