perturbation_type,perturbation_level,horizon_hours,horizon_label,MAE,RMSE,sMAPE,MAE_increase_vs_zero,MAE_increase_percent_vs_zero
noise,0.0,1,1h,0.9177750468981328,2.487460034798854,0.0127312214217585,0.0,0.0
noise,0.01,1,1h,0.9530412098254863,2.491003038477158,0.0130929926636134,0.03526616292735352,3.842571558961532
noise,0.03,1,1h,1.0605370719261755,2.519523275624146,0.0143042850128424,0.1427620250280427,15.555230610218189
noise,0.05,1,1h,1.1743553132439233,2.5612525429233552,0.0156096061342801,0.25658026634579045,27.95677080271166
noise,0.0,3,3h,0.9244928329767534,1.7751070216475533,0.0126309473597839,0.0,0.0
noise,0.01,3,3h,0.9325487538133436,1.7779575475774456,0.0127159492776077,0.008055920836590125,0.8713881329562122
noise,0.03,3,3h,0.9737369636467956,1.798980647914289,0.0131805708486542,0.049244130670042185,5.326610322276067
noise,0.05,3,3h,1.0385030310114678,1.8410199912054896,0.0139138734726004,0.11401019803471435,12.332188413793919
noise,0.0,6,6h,0.8131822087195247,1.5357516547773626,0.0114538020366169,0.0,0.0
noise,0.01,6,6h,0.8394033807330905,1.5414232672614905,0.0117329277115012,0.026221172013565774,3.22451373534781
noise,0.03,6,6h,0.9354144859408032,1.583729273082317,0.0127579613815033,0.1222322772212785,15.031351634432735
noise,0.05,6,6h,1.0610525127149384,1.6674024576410904,0.0140844385766144,0.24787030399541365,30.481520788031258
missingness,0.0,1,1h,0.9177750468981328,2.487460034798854,0.0127312214217585,0.0,0.0
missingness,0.05,1,1h,0.927544870392286,2.52031728434522,0.0129002949175049,0.009769823494153118,1.0645117806561488
missingness,0.1,1,1h,0.9336583325993788,2.519557830575423,0.0129754438224019,0.015883285701245975,1.7306294995628617
missingness,0.2,1,1h,0.9912772868948684,2.6314298165620014,0.0138910012994763,0.07350223999673555,8.008742474003418
missingness,0.0,3,3h,0.9244928329767534,1.7751070216475533,0.0126309473597839,0.0,0.0
missingness,0.05,3,3h,0.9367327055550346,1.8021596708261405,0.0128492531620187,0.012239872578281186,1.3239553776604518
missingness,0.1,3,3h,0.9520045263534566,1.8352417316181129,0.0130917602280055,0.027511693376703117,2.9758687569398283
missingness,0.2,3,3h,0.981114484813579,1.9114325209994831,0.0135809613173094,0.05662165183682555,6.124617716560418
missingness,0.0,6,6h,0.8131822087195247,1.5357516547773626,0.0114538020366169,0.0,0.0
missingness,0.05,6,6h,0.82088709575221,1.5496699596524377,0.0115798576984997,0.007704887032685237,0.947498229802361
missingness,0.1,6,6h,0.8384068103560135,1.5894677319658794,0.011885948827084,0.025224601636488764,3.101961819382229
missingness,0.2,6,6h,0.8842474526526523,1.6998593565265072,0.012639958432049,0.07106524393312752,8.739153804782598
