experiment,model,feature_group,target,target_column,history_hours,horizon_hours,train_ratio,seed,mae,rmse,smape,n_train_windows,n_val_windows,n_test_windows,best_epoch,best_val_mae,train_start,train_end_selected,val_start,val_end,test_start,test_end
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,0.2,1,1.0538436740306096,2.3873752863550166,0.014129693665350614,12431,6110,6488,4,1.3058772335271007,2025-12-15 13:00:00,2025-12-25 16:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,0.2,2,1.1145288271027929,2.561143860674299,0.015481287129319286,12431,6110,6488,1,1.3817929924997683,2025-12-15 13:00:00,2025-12-25 16:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,0.2,3,0.9783358691505968,2.318262588733299,0.013288308925773838,12431,6110,6488,11,1.2476171677709602,2025-12-15 13:00:00,2025-12-25 16:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,0.2,4,1.0736588649773275,2.3712132163382225,0.01450457145746668,12431,6110,6488,7,1.3209053926108902,2025-12-15 13:00:00,2025-12-25 16:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,0.2,5,0.9955036895930693,2.3694239935269126,0.013943660347370837,12431,6110,6488,9,1.2588514668266433,2025-12-15 13:00:00,2025-12-25 16:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,0.4,1,1.0464197310507666,2.459290294126412,0.013937842840301971,24756,6110,6488,4,1.2558326096854702,2025-12-15 13:00:00,2026-01-04 20:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,0.4,2,1.0351382613035078,2.371027890867177,0.014068545005118595,24756,6110,6488,2,1.2518053838352134,2025-12-15 13:00:00,2026-01-04 20:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,0.4,3,1.0135900365733042,2.356429638918458,0.013577710557430518,24756,6110,6488,13,1.210156660189215,2025-12-15 13:00:00,2026-01-04 20:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,0.4,4,1.0289497828218999,2.374285596179864,0.013866679779364833,24756,6110,6488,2,1.22559951619899,2025-12-15 13:00:00,2026-01-04 20:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,0.4,5,1.067610362014112,2.4565436786280466,0.014663506513178805,24756,6110,6488,6,1.2884858420164418,2025-12-15 13:00:00,2026-01-04 20:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,0.6,1,0.9687450487722451,2.3367453997393186,0.012966361813590217,37036,6110,6488,7,1.1414186256021603,2025-12-15 13:00:00,2026-01-14 23:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,0.6,2,0.9262330317467855,2.3483123635798733,0.012622425960997292,37036,6110,6488,6,1.0977563717556469,2025-12-15 13:00:00,2026-01-14 23:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,0.6,3,0.9665806337584697,2.3513949959735347,0.013021201347680308,37036,6110,6488,14,1.1575065138297074,2025-12-15 13:00:00,2026-01-14 23:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,0.6,4,0.9577267478632427,2.4007781418116285,0.013105958254251267,37036,6110,6488,4,1.1341000333745428,2025-12-15 13:00:00,2026-01-14 23:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,0.6,5,0.9935130249851288,2.359069266590036,0.013607689256177754,37036,6110,6488,14,1.1762672992462808,2025-12-15 13:00:00,2026-01-14 23:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,0.8,1,1.0306510008072294,2.3490724492406385,0.013991959477239854,49141,6110,6488,9,1.2020218825769502,2025-12-15 13:00:00,2026-01-25 03:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,0.8,2,0.9512956098328389,2.312949351661604,0.013130396024441382,49141,6110,6488,6,1.1208864364998625,2025-12-15 13:00:00,2026-01-25 03:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,0.8,3,0.9809204711867026,2.313067573935541,0.013259043221436987,49141,6110,6488,7,1.1197781252197665,2025-12-15 13:00:00,2026-01-25 03:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,0.8,4,0.9230319656955328,2.34652042480253,0.012585357354199226,49141,6110,6488,10,1.0850861756969397,2025-12-15 13:00:00,2026-01-25 03:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,0.8,5,1.1142189940747733,2.4109072868526735,0.014798483656975312,49141,6110,6488,1,1.3451354306185108,2025-12-15 13:00:00,2026-01-25 03:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,1.0,1,0.9471668144630592,2.3537725969694265,0.012657411199927573,61291,6110,6488,6,1.1419528567849517,2025-12-15 13:00:00,2026-02-04 06:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,1.0,2,0.9115791050338274,2.3289030891830684,0.012895861685516735,61291,6110,6488,7,1.1100106003631742,2025-12-15 13:00:00,2026-02-04 06:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,1.0,3,0.989367179306162,2.3507659123448374,0.013443938101212305,61291,6110,6488,2,1.1840248794680532,2025-12-15 13:00:00,2026-02-04 06:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
