column,dtype,missing_count,missing_rate,unique_count
node_id,str,0,0.0,51
time_bin,datetime64[us],0,0.0,1980
node_order,int64,0,0.0,51
latitude,float64,0,0.0,51
longitude,float64,0,0.0,51
current_speed,float64,3886,0.0384828678946326,510
free_flow_speed,float64,3886,0.0384828678946326,92
current_travel_time,float64,3886,0.0384828678946326,2824
free_flow_travel_time,float64,3886,0.0384828678946326,144
confidence,float64,3886,0.0384828678946326,202
road_closure,float64,3886,0.0384828678946326,1
observed_count,int64,0,0.0,7
source_file_count,int64,0,0.0,3
first_capture_time,str,3886,0.0384828678946326,83372
last_capture_time,str,3886,0.0384828678946326,83349
has_observation,int64,0,0.0,2
missing_mask,int64,0,0.0,2
tti,float64,3886,0.0384828678946326,5041
speed_ratio,float64,3886,0.0384828678946326,2409
speed_drop,float64,3886,0.0384828678946326,393
travel_time_delay,float64,3886,0.0384828678946326,2573
speed_deficit_ratio,float64,3886,0.0384828678946326,2428
current_speed_input,float64,0,0.0,510
free_flow_speed_input,float64,0,0.0,92
current_travel_time_input,float64,0,0.0,2824
free_flow_travel_time_input,float64,0,0.0,144
confidence_input,float64,0,0.0,203
road_closure_input,int64,0,0.0,1
tti_input,float64,0,0.0,5041
speed_ratio_input,float64,0,0.0,2409
speed_drop_input,float64,0,0.0,393
travel_time_delay_input,float64,0,0.0,2573
speed_deficit_ratio_input,float64,0,0.0,2428
gap_length_steps,int64,0,0.0,26
coverage_ratio_6h,float64,0,0.0,9
coverage_ratio_24h,float64,0,0.0,55
volatility_tti_3h,float64,0,0.0,19038
volatility_tti_6h,float64,0,0.0,21948
hour,int64,0,0.0,24
day_of_week,int64,0,0.0,7
is_weekend,int64,0,0.0,2
hour_sin,float64,0,0.0,21
hour_cos,float64,0,0.0,22
dayofweek_sin,float64,0,0.0,7
dayofweek_cos,float64,0,0.0,7
gap_component,float64,0,0.0,26
volatility_component,float64,0,0.0,22284
reliability_score,float64,0,0.0,24942
reliability_group,str,0,0.0,2
traffic_state_observed,str,3886,0.0384828678946326,3
traffic_state_input,str,0,0.0,3
valid_target,int64,0,0.0,2
