model,split,n,MAE,RMSE,MAPE,sMAPE,R2
Persistence,test,139795,1.5726274963588707,3.6651199463714135,0.022976482136875205,0.02301287379322412,0.9462864742712347
Persistence,train,961784,1.704554366862397,3.9041801593479866,0.025039705900514585,0.025017111847222735,0.9405609452797418
Persistence,val,133463,1.5708124235350658,4.129615124823116,0.024371770347601383,0.024231834063780804,0.936057283879745
HistoricalAverage,test,139795,1.4072502734039187,2.742222318861239,0.020513145134946884,0.02041190476616666,0.9699314421887777
HistoricalAverage,train,961784,1.4883548855435182,2.917405080855791,0.0220090311078332,0.021635874272873327,0.966810121401616
HistoricalAverage,val,133463,1.5012933766657581,3.0240683759971616,0.023516941778534445,0.02270650141789114,0.965710974892965
SeasonalHistoricalAverage,test,139795,0.9346006145900383,1.8413972607936901,0.012545738922489521,0.012560359291212974,0.9864417929607946
SeasonalHistoricalAverage,train,961784,0.8100766122704955,1.6742106019736582,0.010768030038043695,0.01062444298455875,0.9890696927659205
SeasonalHistoricalAverage,val,133463,0.8637176922985097,1.939746518730071,0.012356901997174393,0.011959175251726913,0.9858921157879876
RidgeRegression,test,139795,1.2860652424501617,2.399725874416052,0.01827409780245083,0.018155184393025835,0.9769733614263154
RidgeRegression,train,961784,1.3726857451618062,2.574259581192857,0.01984167287373731,0.019571364412730444,0.9741585505543638
RidgeRegression,val,133463,1.3383230436062135,2.691352232386453,0.02044853952108822,0.019831188802930312,0.9728410481909794
