model,split,history_hours,n,MAE,RMSE,MAPE,sMAPE,R2
Persistence,test,24,59485,1.5672938711243947,3.6987970101925107,0.023057696716951837,0.02304457672144851,0.9454001202264192
Persistence,test,72,49766,1.5887920441866443,3.6894558487957094,0.02315288037152703,0.023207991262017325,0.9457365742793705
Persistence,test,168,30544,1.556677581805302,3.557880385745888,0.022530905793189344,0.02263322264611207,0.9489370447968961
Persistence,train,24,331255,1.6933994347306747,3.882123588076367,0.0248900000071585,0.024864652807501546,0.9411701463750645
Persistence,train,72,325696,1.7021947031811075,3.8968950988069957,0.025005202135957225,0.02497745583011246,0.9407564983821846
Persistence,train,168,304833,1.7191973355227275,3.935729740841816,0.025239253074885292,0.025225155678932493,0.9396920798418147
Persistence,val,24,57290,1.4724153246075369,3.905806433742795,0.023105539224314454,0.022976747904880003,0.9421111709721356
Persistence,val,72,49102,1.528478735189212,4.065785655399138,0.024016941064230933,0.023811843322669644,0.9383254965898777
Persistence,val,168,27071,1.855834719080714,4.669954038739736,0.027695076044663317,0.02764974516471786,0.9195062865963803
HistoricalAverage,test,24,59485,1.4047564429623318,2.745456207399998,0.020504018434405517,0.020396091001321677,0.9699184831246503
HistoricalAverage,test,72,49766,1.4313753772099505,2.7757207818329004,0.0208640018721709,0.02072694480979102,0.969286159352686
HistoricalAverage,test,168,30544,1.3727995003488784,2.6803084645192166,0.01995926107906072,0.0199294008043671,0.9710203714356986
HistoricalAverage,train,24,331255,1.4809144528820892,2.9043260797475465,0.02189286853340115,0.021533382842511096,0.9670731789852743
HistoricalAverage,train,72,325696,1.4862512148188156,2.9125253975341185,0.02197475648608372,0.021606493558870184,0.9669064976447492
HistoricalAverage,train,168,304833,1.4986878798768577,2.9367311522540094,0.02217188270460524,0.021778640901790186,0.9664222033759245
HistoricalAverage,val,24,57290,1.4385893427876768,2.8974442394473057,0.02237238454462182,0.021738079634079477,0.9681431004948936
HistoricalAverage,val,72,49102,1.4896155415374046,3.0045101247741757,0.02351240033796149,0.02267306393954233,0.9663206232214622
HistoricalAverage,val,168,27071,1.6551746208513338,3.3084225894254082,0.02594739051503726,0.02481660932142087,0.9596002474158458
SeasonalHistoricalAverage,test,24,59485,0.8985400565455386,1.7876474065902672,0.012003296358529932,0.011996489165510063,0.9872463522743474
SeasonalHistoricalAverage,test,72,49766,0.9580138942687173,1.8690643593700842,0.012867050589285221,0.01287164907659074,0.9860738494773635
SeasonalHistoricalAverage,test,168,30544,0.9666814494115391,1.8982532985934337,0.013078635710971107,0.01315131551725826,0.9854644461150227
SeasonalHistoricalAverage,train,24,331255,0.8025976354224047,1.658042592733278,0.010652198321396392,0.010513910044065614,0.9892687473658206
SeasonalHistoricalAverage,train,72,325696,0.8089130405989972,1.6687612364767095,0.010742185614209341,0.010601526146439992,0.9891359515031979
SeasonalHistoricalAverage,train,168,304833,0.8194470515435882,1.6973481391917367,0.01092151493227482,0.010769041868901917,0.9887832853625038
SeasonalHistoricalAverage,val,24,57290,0.7761279507296196,1.7431863235264051,0.010877049704383648,0.010586093027626567,0.9884691598487442
SeasonalHistoricalAverage,val,72,49102,0.8573146721022737,1.8951239806679885,0.012262950872732836,0.011877652777778818,0.9866003962076012
SeasonalHistoricalAverage,val,168,27071,1.0606966510424538,2.3674921415167582,0.01565910457433487,0.015012878370729104,0.9793122222117183
RidgeRegression,test,24,59485,1.2504493771180365,2.2906285688377466,0.017501431275043864,0.01736778666743186,0.9790598380332238
RidgeRegression,test,72,49766,1.3314981165999837,2.4988831954927266,0.019098549994038278,0.018960332600250058,0.9751071578175696
RidgeRegression,test,168,30544,1.2814030284094802,2.4420941824539555,0.018435582238551625,0.018376810507033083,0.975942633908714
RidgeRegression,train,24,331255,1.3253496650020196,2.4369014865524123,0.01884745584934382,0.018596625522821375,0.9768188488172204
RidgeRegression,train,72,325696,1.3791417603258482,2.612808184593253,0.020092493894057806,0.019816469538066064,0.9733671069406864
RidgeRegression,train,168,304833,1.4172269034959166,2.6760340971177246,0.02065407821496076,0.02036871040898254,0.972119080048519
RidgeRegression,val,24,57290,1.2317888742553977,2.404009879212196,0.01832055922557835,0.017902808640495625,0.9780696366159995
RidgeRegression,val,72,49102,1.3557359220242022,2.7437695697583933,0.021115718126161656,0.020448182701399566,0.9719125719380937
RidgeRegression,val,168,27071,1.5321960222929303,3.1345035010960767,0.023741812295032447,0.022793076620271586,0.9637361199936463
