model,split,horizon_hours,n,MAE,RMSE,MAPE,sMAPE,R2
Persistence,test,1,29080,1.0467532095369096,3.157186188884866,0.014823541051505185,0.014678821133481446,0.9611442662189592
Persistence,test,3,28225,1.3129416396024014,3.230330781900151,0.018800710726528412,0.018808751596996492,0.9586394158942827
Persistence,test,6,28685,1.6087325934964072,3.675668161713168,0.023479464495006024,0.02359663891895246,0.9461723750319123
Persistence,test,12,27805,2.0359225277409956,4.318818441799464,0.030521240099907976,0.030508614131678626,0.9244565388506856
Persistence,test,24,26000,1.9074145928497828,3.8596212924090714,0.02800489101050943,0.02823792139290092,0.9386665319838488
Persistence,train,1,193339,1.1308228896739232,3.3516204563070273,0.01620989993073444,0.01602520786142072,0.957435159790016
Persistence,train,3,188143,1.4020008126206602,3.4353476412191273,0.020314184016154497,0.020214704592586903,0.9544262634923891
Persistence,train,6,194029,1.7665797523966922,3.9653859251277517,0.025915858245674467,0.025932794303208183,0.9389188329931645
Persistence,train,12,193876,2.186901690495289,4.561231867609004,0.03280378233422173,0.03277364774975375,0.9177632655698097
Persistence,train,24,192397,2.0283520881229187,4.067643348513385,0.029826436848710513,0.030009652931171103,0.9335390409258864
Persistence,val,1,29017,1.0332144375136414,3.7702908453427435,0.016024645912386552,0.015608260572841088,0.9485477382395863
Persistence,val,3,27285,1.3117712214688575,3.7366389847967434,0.020067843938721575,0.019926178453920675,0.9484966856643863
Persistence,val,6,27348,1.712160141712577,4.2947149687617525,0.026282069386490095,0.02622601594052507,0.9309979013767756
Persistence,val,12,25014,2.1135953310590514,4.81683374643411,0.03318379392031714,0.032912459681161944,0.911425450398115
Persistence,val,24,24799,1.7814931329683739,4.005123488015641,0.027878941041559736,0.028104409173392384,0.9370421037955852
HistoricalAverage,test,1,29080,1.9008168659711708,3.7541745884020195,0.028256344662358393,0.027849582345149605,0.945060632192481
HistoricalAverage,test,3,28225,1.7650819016687633,3.206860766127576,0.025981796643804605,0.025884452167457998,0.9592382444274254
HistoricalAverage,test,6,28685,1.551621842032974,2.7760351121150486,0.022797359507018746,0.022792615582351107,0.9692968782537288
HistoricalAverage,test,12,27805,1.1551261933974646,1.9978889593431368,0.016763160421952014,0.01675009589702756,0.9838337355667791
HistoricalAverage,test,24,26000,0.5771078648971535,0.8564769638986915,0.007406249157535554,0.007441735206393201,0.9969797735419922
HistoricalAverage,train,1,193339,2.035252633580131,4.035751367086125,0.03094508258334994,0.03008833624351109,0.9382850832324244
