model,history_hours,horizon_hours,MAE,RMSE,sMAPE,SeasonalHistoricalAverage_MAE,delta_MAE_vs_seasonal,improvement_percent_vs_seasonal
TCN,24,1,1.0890810658967693,2.44820870044504,0.014396832162208812,1.178897282310066,0.08981621641329673,7.618663454486941
LSTM,24,1,1.0913456462326703,2.42554390449956,0.014328550691794898,1.178897282310066,0.0875516360773958,7.426570354444885
TCN,24,3,1.0168855987949632,1.806635004690398,0.01366756899804812,1.0540818485088488,0.037196249713885576,3.5287819220589984
LSTM,24,3,1.0176827446301189,1.814134420077871,0.013419283952014903,1.0540818485088488,0.03639910387872991,3.453157260057339
TCN,24,6,0.8922117933442321,1.4801173718240044,0.01180756937924937,0.9519557742157024,0.05974398087147037,6.275919794771165
LSTM,24,6,0.9357991028082875,1.5712444236434921,0.0120838080678771,0.9519557742157024,0.016156671407414946,1.6972081944380357
TCN,24,12,0.8465117114704599,1.399962780977403,0.01128595293337636,0.8158950054073275,-0.030616706063132382,-3.7525301491271286
LSTM,24,12,0.8834826943249475,1.4740441413904106,0.011733636089067226,0.8158950054073275,-0.06758768891762001,-8.28387089879016
TCN,24,24,0.8133512281904862,1.220468814468373,0.010953408652024722,0.6394572216979711,-0.17389400649251507,-27.194001505021518
LSTM,24,24,0.7131580288253296,1.1205194245266306,0.00940835736867293,0.6394572216979711,-0.07370080712735849,-11.525525809476102
