model,ablation_group,history_hours,horizon_hours,epoch,split,train_loss,MAE,RMSE,sMAPE,best_val_MAE,best_epoch,elapsed_seconds
TCN,speed_only,24,1,1,val,0.0375236590934673,0.984127378592715,2.6764566996073684,0.01386372138188076,0.984127378592715,1,77.64393330000166
TCN,speed_only,24,1,2,val,0.029133719526997216,1.1334001947432186,2.67551630579388,0.015668189673924783,0.984127378592715,1,158.51193150000472
TCN,speed_only,24,1,3,val,0.028115776871184384,0.8757360152128963,2.6094061133366524,0.012615416058262557,0.8757360152128963,3,236.3619156000059
TCN,speed_only,24,1,4,val,0.027896805970645696,0.8797424100049352,2.65380678318077,0.013264569728310544,0.8757360152128963,3,311.1253977000015
TCN,speed_only,24,1,5,val,0.027232247052044672,1.1561906894458414,2.574717985267547,0.01561677477676968,0.8757360152128963,3,384.2422022999963
TCN,speed_only,24,1,6,val,0.026831361651602423,1.1299793530112359,2.528514809339475,0.015020466611702038,0.8757360152128963,3,459.05283800000325
TCN,speed_only,24,1,7,val,0.026510549243518592,1.1090467406261086,2.5655883303620093,0.015065173230714683,0.8757360152128963,3,539.4485618000035
TCN,speed_only,24,1,3,test,,0.9832630992567496,2.522738497384306,0.013489322143766106,0.8757360152128963,3,549.749887900005
TCN,speed_time,24,1,1,val,0.04099356131182671,1.298356415687863,2.7900571551878386,0.017751748365885046,1.298356415687863,1,78.92819859999872
TCN,speed_time,24,1,2,val,0.02883619081097214,1.3484065306986877,2.7400594724336322,0.017802552170011168,1.298356415687863,1,157.24500049999915
TCN,speed_time,24,1,3,val,0.026699036788823387,1.0196775566621956,2.5858954094587974,0.01418259335271615,1.0196775566621956,3,232.50678969999717
TCN,speed_time,24,1,4,val,0.025851653383668096,1.2810996776037105,2.599471061569746,0.016874126789740373,1.0196775566621956,3,305.56181830000423
TCN,speed_time,24,1,5,val,0.025257961209641033,1.0945694104793295,2.519693217094938,0.014863767885747947,1.0196775566621956,3,385.77808790000563
TCN,speed_time,24,1,6,val,0.024661215889342662,1.2850199073233104,2.571979850956713,0.016893226343898168,1.0196775566621956,3,473.87206379999407
TCN,speed_time,24,1,7,val,0.024238188189702716,1.0616548267918213,2.5001586702786316,0.014436794351485508,1.0196775566621956,3,570.2229396000039
TCN,speed_time,24,1,3,test,,1.1170713101996241,2.4437814984989337,0.014899288356772353,1.0196775566621956,3,583.0817205000058
TCN,speed_reliability,24,1,1,val,0.04180670263040233,1.3293043455035263,2.9546277287559284,0.019387453952492955,1.3293043455035263,1,97.07707530001062
TCN,speed_reliability,24,1,2,val,0.03036484415208272,1.2558828312767771,2.738089655427228,0.01714721179897505,1.2558828312767771,2,193.88502990000416
TCN,speed_reliability,24,1,3,val,0.028911432146753596,1.028012080521244,2.7621404335614805,0.015237575403765235,1.028012080521244,3,290.5685336000024
TCN,speed_reliability,24,1,4,val,0.02782196743608085,1.180994493571884,2.6491515365006317,0.0160726486662819,1.028012080521244,3,386.82916280000063
TCN,speed_reliability,24,1,5,val,0.027547154301441654,1.5161830335257043,2.696554775138583,0.019512325833669544,1.028012080521244,3,485.5891386000003
TCN,speed_reliability,24,1,6,val,0.027029890081520517,1.1615752767377305,2.6439568398897446,0.015912809183400458,1.028012080521244,3,587.9523603000125
TCN,speed_reliability,24,1,7,val,0.02676193466986444,1.008720188783374,2.5732887680116545,0.014339015858104267,1.008720188783374,7,685.8423134000041
TCN,speed_reliability,24,1,8,val,0.026459013989949546,1.0371013701074427,2.5413835635455087,0.01424855206770718,1.008720188783374,7,792.3162683000119
TCN,speed_reliability,24,1,9,val,0.026216769469287193,1.0819897807608783,2.547066611538493,0.014913670188099509,1.008720188783374,7,892.9610274000006
TCN,speed_reliability,24,1,10,val,0.02583199558168227,1.1169866873449834,2.520160118573074,0.014911194391748194,1.008720188783374,7,992.6892678000004
TCN,speed_reliability,24,1,11,val,0.025769131917112303,0.9357771337662513,2.5361618837987576,0.013164018966493775,0.9357771337662513,11,1089.837829000011
TCN,speed_reliability,24,1,12,val,0.02553109861362054,1.078112176789308,2.525669521050909,0.014987276860132518,0.9357771337662513,11,1188.8523155000003
TCN,speed_reliability,24,1,13,val,0.025406843268140404,0.9027635783662992,2.4858572216827133,0.012700243453735077,0.9027635783662992,13,1287.5752994000068
TCN,speed_reliability,24,1,14,val,0.0251567131449526,1.2359358952696349,2.5439215883944337,0.016315897452475706,0.9027635783662992,13,1387.1123282000044
TCN,speed_reliability,24,1,15,val,0.02499752324243749,1.2437794800029798,2.5650440627423237,0.016204231292802664,0.9027635783662992,13,1486.4698636000103
TCN,speed_reliability,24,1,13,test,,1.0193711328642543,2.4509784049959658,0.013672449458550515,0.9027635783662992,13,1498.902655900005
TCN,speed_volatility,24,1,1,val,0.04335294165824406,1.0353721601143693,2.7342379794070224,0.015058543110187074,1.0353721601143693,1,96.97701790000428
TCN,speed_volatility,24,1,2,val,0.02918099505886835,1.5220303166138325,2.8506271748628293,0.0202798404965524,1.0353721601143693,1,194.3097063000023
TCN,speed_volatility,24,1,3,val,0.027933318823718082,1.0246699364221874,2.6527818214542513,0.014204239221572523,1.0246699364221874,3,290.12178530001256
TCN,speed_volatility,24,1,4,val,0.027249219648446586,0.8710669151789516,2.6672278759581545,0.012723754403172695,0.8710669151789516,4,386.0710270000127
TCN,speed_volatility,24,1,5,val,0.02681908481278456,1.3248186266995798,2.6941527417435007,0.017169911099761504,0.8710669151789516,4,481.59681440000713
TCN,speed_volatility,24,1,6,val,0.026591477251850897,0.9120776361934905,2.661983841764157,0.01344835729099202,0.8710669151789516,4,577.9960589000111
TCN,speed_volatility,24,1,7,val,0.026258876083905893,1.067922961877004,2.718248786700408,0.014886648819960878,0.8710669151789516,4,674.5373582000029
TCN,speed_volatility,24,1,8,val,0.026001845115625512,0.9684846438928546,2.646629414788573,0.013495183444417485,0.8710669151789516,4,767.3525389000133
TCN,speed_volatility,24,1,4,test,,0.9736319463009062,2.485597563744089,0.013465178528559241,0.8710669151789516,4,779.9158702999994
TCN,full_features,24,1,1,val,0.0522551688797556,1.3869047234482612,2.7970518299647895,0.018629707290475757,1.3869047234482612,1,96.75174150000385
TCN,full_features,24,1,2,val,0.030006412061595288,1.1749836443565036,2.712065717336403,0.016515948172304944,1.1749836443565036,2,193.28866689999995
TCN,full_features,24,1,3,val,0.027666983971919277,1.3387679906763335,2.6694938073325853,0.017385109126083903,1.1749836443565036,2,289.4172389000014
TCN,full_features,24,1,4,val,0.026417289735992597,1.3171875203850718,2.698126937641795,0.0173176866536779,1.1749836443565036,2,385.44339270000637
TCN,full_features,24,1,5,val,0.025865735552168298,1.155441979523243,2.6089910621365147,0.015718212257560954,1.155441979523243,5,481.8869037999975
TCN,full_features,24,1,6,val,0.025060798651620263,1.039376550165906,2.585320959887936,0.014151706641293733,1.039376550165906,6,578.423395100006
TCN,full_features,24,1,7,val,0.024485961080667196,1.0888951963386069,2.678738330465919,0.01577377147496564,1.039376550165906,6,674.5766980000044
TCN,full_features,24,1,8,val,0.024159709171435312,1.3114007281217503,2.6003069321058563,0.01696055151472011,1.039376550165906,6,767.0431030000036
TCN,full_features,24,1,9,val,0.023722241584986745,1.3329762140753503,2.612541818204192,0.017228495072300325,1.039376550165906,6,863.0471341999946
TCN,full_features,24,1,10,val,0.023450567613731297,1.1697601669783007,2.612287681994629,0.015519701529279365,1.039376550165906,6,959.2001545999956
TCN,full_features,24,1,6,test,,1.1337988849178022,2.447204438823493,0.014871854178599505,1.039376550165906,6,971.6788820000074
TCN,speed_only,24,3,1,val,0.029176066799312055,1.2324042157894188,1.9907740628173427,0.016487314767108217,1.2324042157894188,1,93.09404820000054
TCN,speed_only,24,3,2,val,0.018952412629744453,1.171781866933321,1.9475212615919357,0.01537808639579406,1.171781866933321,2,186.07227489999786
TCN,speed_only,24,3,3,val,0.01766486681649071,1.129417313551987,1.8932057799364386,0.014761174873760712,1.129417313551987,3,279.2486273999966
TCN,speed_only,24,3,4,val,0.017292561217195242,1.0222680475185497,1.8153899380205036,0.013835334672661763,1.0222680475185497,4,370.29295789999014
TCN,speed_only,24,3,5,val,0.01669838979243443,1.1022784421592116,1.8556307824309297,0.014543222173599768,1.0222680475185497,4,462.3807369999995
TCN,speed_only,24,3,6,val,0.01657556877171982,0.8921228742077478,1.8181025477076784,0.012398072429087382,0.8921228742077478,6,555.9625931999908
TCN,speed_only,24,3,7,val,0.016351946849839046,0.7873563658789349,1.897456913907515,0.011633366066605224,0.7873563658789349,7,649.1453786999919
TCN,speed_only,24,3,8,val,0.016208439758577792,0.8757944596182652,1.835591552769669,0.012201446343400282,0.7873563658789349,7,742.4236812000017
TCN,speed_only,24,3,9,val,0.01599793342455816,0.9078071448897691,1.810993540542822,0.012303025293911307,0.7873563658789349,7,835.3171141999919
TCN,speed_only,24,3,10,val,0.015904410889426658,0.9199430082452862,1.8526493073541508,0.012861741511003328,0.7873563658789349,7,928.3312181999936
TCN,speed_only,24,3,11,val,0.015702571513114383,0.9941390259246786,1.7960425704941738,0.013421640241507011,0.7873563658789349,7,1021.3233634999924
TCN,speed_only,24,3,7,test,,0.8726501516228795,1.8923725486152283,0.012357498823209504,0.7873563658789349,7,1033.420358599993
TCN,speed_time,24,3,1,val,0.036853469683281286,1.512708662131893,2.334734246971692,0.020049814128165023,1.512708662131893,1,90.35748399999284
TCN,speed_time,24,3,2,val,0.019607033683977173,1.0833918674476557,2.0266640806948706,0.014875297995945743,1.0833918674476557,2,184.82741889999306
TCN,speed_time,24,3,3,val,0.01728110693607558,1.3098503581697227,2.1018300369921485,0.01761260849117014,1.0833918674476557,2,279.4414761999942
TCN,speed_time,24,3,4,val,0.01590046112368423,1.0292354880011438,1.9041745693310128,0.013974315292709068,1.0292354880011438,4,373.8985029000032
TCN,speed_time,24,3,5,val,0.015170959086516451,1.0106861376575371,1.9005222728091429,0.013472540235422126,1.0106861376575371,5,468.3970990999951
TCN,speed_time,24,3,6,val,0.014540724299029278,1.108445776114124,1.9168945790849246,0.01456647841460864,1.0106861376575371,5,563.1562796999933
TCN,speed_time,24,3,7,val,0.014062612322519734,0.8983639481252416,1.8263483379017342,0.012225900537380163,0.8983639481252416,7,658.8342961000017
TCN,speed_time,24,3,8,val,0.013787107013895449,1.0023157283998998,1.845131089272375,0.013325055157838233,0.8983639481252416,7,753.2400164999999
TCN,speed_time,24,3,9,val,0.013470686211332824,1.0126626858391872,1.871940039471118,0.013859870034238981,0.8983639481252416,7,846.1752113999974
TCN,speed_time,24,3,10,val,0.013482033133391996,0.8800807328442439,1.8438661191517225,0.012353619669815767,0.8800807328442439,10,938.807564399991
TCN,speed_time,24,3,11,val,0.013169282385129606,1.1063732607242784,1.8615311940903814,0.01431863081172035,0.8800807328442439,10,1033.1683672999934
TCN,speed_time,24,3,12,val,0.01315687636553426,0.9670728718491528,1.7936729164419165,0.01293022992571732,0.8800807328442439,10,1127.8456692000036
TCN,speed_time,24,3,13,val,0.012932379905347147,0.9068252554269466,1.840784337291238,0.012325593306589992,0.8800807328442439,10,1222.269269700002
TCN,speed_time,24,3,14,val,0.012790221553711893,1.050868709851273,1.8637464550818628,0.014003312753735517,0.8800807328442439,10,1316.7824435999937
TCN,speed_time,24,3,10,test,,0.9792680796558838,1.8228380339604178,0.013405071555535051,0.8800807328442439,10,1329.0902502999961
TCN,speed_reliability,24,3,1,val,0.04485356404020377,1.3174411706930194,2.247411530636057,0.017415732762554616,1.3174411706930194,1,95.02378500001214
TCN,speed_reliability,24,3,2,val,0.0220131231460611,1.1675218293280676,2.079446448519169,0.015915196208853483,1.1675218293280676,2,189.2067093000078
TCN,speed_reliability,24,3,3,val,0.019513781232244953,1.1597603369700415,2.1682469653711705,0.01609426431295121,1.1597603369700415,3,280.43206900000223
TCN,speed_reliability,24,3,4,val,0.018558264363129788,1.0573209879799306,2.03317081662713,0.014329598083245557,1.0573209879799306,4,374.66077510001196
TCN,speed_reliability,24,3,5,val,0.018025858038184326,1.0441654196443995,1.9450463072883535,0.0142657496581633,1.0441654196443995,5,468.9089585000038
TCN,speed_reliability,24,3,6,val,0.01722649177977569,1.1617797504323442,2.0196913460715185,0.01641118997455585,1.0441654196443995,5,563.2718093000003
TCN,speed_reliability,24,3,7,val,0.01705818392453303,1.083990938344317,1.9638036179572882,0.014707418132817769,1.0441654196443995,5,657.443886500012
TCN,speed_reliability,24,3,8,val,0.016788573680403027,0.9228241243667412,1.860581862810336,0.012719539763479696,0.9228241243667412,8,751.804060800001
TCN,speed_reliability,24,3,9,val,0.01657343220542808,0.9145589002647561,1.9468924432990062,0.013140891377828716,0.9145589002647561,9,846.175196000011
TCN,speed_reliability,24,3,10,val,0.016289269909978987,0.9188834960558694,1.8748747443866665,0.01263119837265939,0.9145589002647561,9,940.67085580001
TCN,speed_reliability,24,3,11,val,0.01613971825349573,1.147786038752805,1.9645705898595751,0.01531538298159819,0.9145589002647561,9,1034.9436005000025
TCN,speed_reliability,24,3,12,val,0.01585862831571018,0.900904391821207,1.8731575958926299,0.012563844726521445,0.900904391821207,12,1129.1304930000042
TCN,speed_reliability,24,3,13,val,0.01579144701603231,1.1859347242577796,2.0099889473194237,0.01579245296259027,0.900904391821207,12,1201.7394643000007
TCN,speed_reliability,24,3,14,val,0.015589178447439362,1.1157941838788858,1.9140548449295702,0.015016787043944067,0.900904391821207,12,1272.6993034000043
TCN,speed_reliability,24,3,15,val,0.015458366007871456,0.9332297882245806,1.833622239961896,0.012846994747460202,0.900904391821207,12,1343.2556432000129
TCN,speed_reliability,24,3,12,test,,0.9557108457571409,1.846281502078249,0.012883846874736909,0.900904391821207,12,1352.60395840001
TCN,speed_volatility,24,3,1,val,0.03566211543699745,1.1059017140293377,2.223162266811531,0.01656315765387238,1.1059017140293377,1,69.99233120000281
TCN,speed_volatility,24,3,2,val,0.019646800953442928,1.308743516902103,2.2041054789019943,0.01769594163701815,1.1059017140293377,1,140.35406969999894
TCN,speed_volatility,24,3,3,val,0.018128214124610284,1.407825291747626,2.223962115334307,0.01921319474931959,1.1059017140293377,1,210.76488250000693
TCN,speed_volatility,24,3,4,val,0.017487889208491172,1.017711232976763,2.0854410358952866,0.01439551488315295,1.017711232976763,4,281.3211136000027
TCN,speed_volatility,24,3,5,val,0.01673149482162828,0.9085664991653846,1.9651549157168826,0.01261353375701468,0.9085664991653846,5,352.06160990000353
TCN,speed_volatility,24,3,6,val,0.01627044327665597,0.9385110394583315,1.9805675077173475,0.012907347460085601,0.9085664991653846,5,422.43154410000716
TCN,speed_volatility,24,3,7,val,0.016118765358197656,0.9420927123523624,1.991164341655649,0.013253558795463997,0.9085664991653846,5,502.5258608000004
TCN,speed_volatility,24,3,8,val,0.015677903943442238,1.2503756212475032,1.997560291593129,0.015892893860133084,0.9085664991653846,5,573.7457347000018
TCN,speed_volatility,24,3,9,val,0.01546681849292142,0.8595371126316814,1.9313735329358324,0.011929204791163777,0.8595371126316814,9,644.1279669000069
TCN,speed_volatility,24,3,10,val,0.015276552606766778,1.011262894169995,1.9983078082824428,0.013789947427130893,0.8595371126316814,9,714.4551752999978
TCN,speed_volatility,24,3,11,val,0.015101527956178402,0.9944796907871964,1.9252961480276085,0.013223507439430248,0.8595371126316814,9,784.9604458999966
TCN,speed_volatility,24,3,12,val,0.014862963605937848,0.969380758433658,1.9467573691966882,0.013364140176541096,0.8595371126316814,9,855.5597045000031
TCN,speed_volatility,24,3,13,val,0.014633766860342562,0.9465371789464497,1.969242974881493,0.0131057717096357,0.8595371126316814,9,926.5886806000053
TCN,speed_volatility,24,3,9,test,,0.9650070744745859,1.8194710856754828,0.013015069853460855,0.8595371126316814,9,936.000999099997
TCN,full_features,24,3,1,val,0.037578846846820294,1.4778478642330428,2.2860797398058037,0.01937976602094007,1.4778478642330428,1,70.72509399999399
TCN,full_features,24,3,2,val,0.018957766552694783,1.316159058866722,2.2429166294051757,0.017198794732018415,1.316159058866722,2,141.2091466999991
TCN,full_features,24,3,3,val,0.0167296892196525,1.1253566526563072,2.0789171809314855,0.015681717867183902,1.1253566526563072,3,212.28646810000646
TCN,full_features,24,3,4,val,0.01557468304332745,1.1645342088055994,2.016086876732025,0.015604890321756947,1.1253566526563072,3,283.1800555999944
TCN,full_features,24,3,5,val,0.014978792681344019,1.1368296711766075,2.0450888724931513,0.015876097639868393,1.1253566526563072,3,353.657498200002
TCN,full_features,24,3,6,val,0.014346023983481702,1.045395328879161,1.9910958269393477,0.014411567682583183,1.045395328879161,6,424.2181611999986
