model,ablation_group,history_hours,horizon_hours,split,n,best_epoch,MAE,RMSE,sMAPE
TCN,full_features,24,1,test,1,6,1.1337988849178022,2.447204438823493,0.014871854178599505
TCN,full_features,24,1,val,10,6,1.1697601669783007,2.612287681994629,0.015519701529279365
TCN,full_features,24,3,test,1,12,1.0175650825121523,1.7982787581716948,0.0135388547355644
TCN,full_features,24,3,val,15,12,1.042225689325299,1.901326333579696,0.013878084710056693
TCN,full_features,24,6,test,1,11,0.9086783526858158,1.4987160100532975,0.0120733035012432
TCN,full_features,24,6,val,15,11,0.9194342989799303,1.6494952349628627,0.012409152354129385
TCN,speed_only,24,1,test,1,3,0.9832630992567496,2.522738497384306,0.013489322143766106
TCN,speed_only,24,1,val,7,3,1.1090467406261086,2.5655883303620093,0.015065173230714683
TCN,speed_only,24,3,test,1,7,0.8726501516228795,1.8923725486152283,0.012357498823209504
TCN,speed_only,24,3,val,11,7,0.9941390259246786,1.7960425704941738,0.013421640241507011
TCN,speed_only,24,6,test,1,11,0.8293011010173276,1.438978310195123,0.011127826663243615
TCN,speed_only,24,6,val,15,11,0.9419625704512636,1.460320402398634,0.012314823633354323
TCN,speed_reliability,24,1,test,1,13,1.0193711328642543,2.4509784049959658,0.013672449458550515
TCN,speed_reliability,24,1,val,15,13,1.2437794800029798,2.5650440627423237,0.016204231292802664
TCN,speed_reliability,24,3,test,1,12,0.9557108457571409,1.846281502078249,0.012883846874736909
TCN,speed_reliability,24,3,val,15,12,0.9332297882245806,1.833622239961896,0.012846994747460202
TCN,speed_reliability,24,6,test,1,3,1.0787106337916512,1.8900558294654415,0.014595737375225041
TCN,speed_reliability,24,6,val,7,3,1.1007842724139874,1.7698003736755952,0.015006478354533252
TCN,speed_time,24,1,test,1,3,1.1170713101996241,2.4437814984989337,0.014899288356772353
TCN,speed_time,24,1,val,7,3,1.0616548267918213,2.5001586702786316,0.014436794351485508
TCN,speed_time,24,3,test,1,10,0.9792680796558838,1.8228380339604178,0.013405071555535051
TCN,speed_time,24,3,val,14,10,1.050868709851273,1.8637464550818628,0.014003312753735517
TCN,speed_time,24,6,test,1,13,0.9041421439681774,1.4869522283977845,0.011990195254006204
TCN,speed_time,24,6,val,15,13,0.860822396237626,1.5524211452110819,0.01176958917184391
TCN,speed_volatility,24,1,test,1,4,0.9736319463009062,2.485597563744089,0.013465178528559241
TCN,speed_volatility,24,1,val,8,4,0.9684846438928546,2.646629414788573,0.013495183444417485
TCN,speed_volatility,24,3,test,1,9,0.9650070744745859,1.8194710856754828,0.013015069853460855
TCN,speed_volatility,24,3,val,13,9,0.9465371789464497,1.969242974881493,0.0131057717096357
TCN,speed_volatility,24,6,test,1,2,0.9438298987495689,1.5828280244317874,0.0129382047985782
TCN,speed_volatility,24,6,val,6,2,1.0011405090592864,1.605485245367353,0.013649591549611293
