model,input_feature_group,history_hours,horizon_hours,split,n,best_epoch,MAE,RMSE,sMAPE
TCN,speed_only,24,1,test,1,3,0.9832630992567496,2.522738497384306,0.013489322143766106
TCN,speed_only,24,1,val,7,3,1.1090467406261086,2.5655883303620093,0.015065173230714683
TCN,speed_only,24,3,test,1,1,1.032555193627276,2.0027993461895806,0.014327913605777252
TCN,speed_only,24,3,val,5,1,1.0660695596436325,1.9117987522370337,0.014512431226865885
TCN,speed_only,24,6,test,1,7,0.8131786034762928,1.5357511907353814,0.011454137148584738
TCN,speed_only,24,6,val,11,7,0.7601028572799813,1.474502440167092,0.01055778170861508
TCN,speed_only,72,1,test,1,4,0.9177750448664841,2.4874600530074025,0.012731221516592468
TCN,speed_only,72,1,val,8,4,1.1460046905369352,2.6531675018413616,0.015468231720010536
TCN,speed_only,72,3,test,1,3,0.9295604460620738,1.8950580157266264,0.01269236324225759
TCN,speed_only,72,3,val,7,3,1.0738980282366661,1.9064554443314647,0.014333795149999301
TCN,speed_only,72,6,test,1,3,0.9355343644538097,1.5456193653694252,0.012383946907744131
TCN,speed_only,72,6,val,7,3,1.0843369443555504,1.6242559757078054,0.014268366951942578
TCN,speed_only,168,1,test,1,5,0.9926097419494178,2.343961904731657,0.013627417798954562
TCN,speed_only,168,1,val,9,5,1.4115326314823131,3.314847685807386,0.01912949915918998
TCN,speed_only,168,3,test,1,4,0.9244928154504194,1.775107011405854,0.012630947165784157
TCN,speed_only,168,3,val,8,4,1.3457771615716063,2.302573893036277,0.01741594814115654
TCN,speed_only,168,6,test,1,6,0.8551521452143493,1.5024703833414996,0.01184580894272768
TCN,speed_only,168,6,val,10,6,1.1626353569235486,1.9355667331356945,0.015241047342151677
