history_hours,horizon_hours,noise_level,n,MAE,RMSE,sMAPE
72,1,0.0,10327,0.9177750468981327,2.487460034798854,0.012731221421758547
72,1,0.01,10327,0.9530412098254863,2.491003038477158,0.013092992663613497
72,1,0.03,10327,1.0605370719261757,2.519523275624146,0.014304285012842477
72,1,0.05,10327,1.1743553132439233,2.5612525429233552,0.015609606134280184
168,3,0.0,6312,0.9244928329767534,1.7751070216475533,0.012630947359783911
168,3,0.01,6312,0.9325487538133435,1.7779575475774456,0.012715949277607755
168,3,0.03,6312,0.9737369636467956,1.798980647914289,0.013180570848654267
168,3,0.05,6312,1.0385030310114678,1.8410199912054899,0.013913873472600449
24,6,0.0,12166,0.8131822087195247,1.5357516547773626,0.011453802036616948
24,6,0.01,12166,0.8394033807330905,1.5414232672614905,0.011732927711501216
24,6,0.03,12166,0.9354144859408031,1.583729273082317,0.012757961381503312
24,6,0.05,12166,1.0610525127149384,1.6674024576410904,0.014084438576614462
