model,input_feature_group,seed,history_hours,horizon_hours,split,best_epoch,best_val_MAE,n,MAE,RMSE,sMAPE,checkpoint
TCN,speed_only,42,72,1,test,5,0.8631505504759944,10327,0.921559664498251,2.464457546289207,0.0126432475322459,outputs\checkpoints\phase9_tcn_speed_only_seed42_h72_y1.pt
TCN,speed_only,2025,72,1,test,2,1.0160466127700278,10327,1.0802470377411098,2.5360867013366653,0.0148924630454127,outputs\checkpoints\phase9_tcn_speed_only_seed2025_h72_y1.pt
TCN,speed_only,20260623,72,1,test,1,0.9713008370373644,10327,1.0278608152777942,2.5178863983365125,0.0140077295928857,outputs\checkpoints\phase9_tcn_speed_only_seed20260623_h72_y1.pt
TCN,speed_only,42,168,3,test,5,1.1505704057388184,6312,1.0112939950631146,1.775941227951191,0.0132922870570154,outputs\checkpoints\phase9_tcn_speed_only_seed42_h168_y3.pt
TCN,speed_only,2025,168,3,test,3,1.079685228123803,6312,0.89997770819525,1.776589387439982,0.0123645373714377,outputs\checkpoints\phase9_tcn_speed_only_seed2025_h168_y3.pt
TCN,speed_only,20260623,168,3,test,3,1.119267727134706,6312,0.9861519472680618,1.7737138950899949,0.0131454297236588,outputs\checkpoints\phase9_tcn_speed_only_seed20260623_h168_y3.pt
TCN,speed_only,42,24,6,test,14,0.810630122779781,12166,0.899449512281642,1.512936940484077,0.0122290218353395,outputs\checkpoints\phase9_tcn_speed_only_seed42_h24_y6.pt
TCN,speed_only,2025,24,6,test,2,0.8156948555840386,12166,0.8621743500242495,1.569319419715213,0.0117267727491512,outputs\checkpoints\phase9_tcn_speed_only_seed2025_h24_y6.pt
TCN,speed_only,20260623,24,6,test,12,0.7407632941873664,12166,0.8173141542202976,1.468999128745931,0.0110275039223168,outputs\checkpoints\phase9_tcn_speed_only_seed20260623_h24_y6.pt
TCN,speed_only,1234,72,1,test,1,0.909556820885658,10327,0.9621959951132395,2.532126293160209,0.01342794952915056,outputs\checkpoints\phase9b_tcn_speed_only_seed1234_h72_y1.pt
TCN,speed_only,3407,72,1,test,15,0.7969889488483887,10327,0.8960231542010108,2.434357246431286,0.012477639026111275,outputs\checkpoints\phase9b_tcn_speed_only_seed3407_h72_y1.pt
TCN,speed_only,1234,168,3,test,12,1.030675275094091,6312,0.9102532038670529,1.6696309334897381,0.01212240076558896,outputs\checkpoints\phase9b_tcn_speed_only_seed1234_h168_y3.pt
TCN,speed_only,3407,168,3,test,7,1.048484914064365,6312,0.8782622575457709,1.735398218236663,0.011875157971108104,outputs\checkpoints\phase9b_tcn_speed_only_seed3407_h168_y3.pt
TCN,speed_only,1234,24,6,test,11,0.7616481490828033,12166,0.846822934932229,1.4709826115956766,0.011335191741157307,outputs\checkpoints\phase9b_tcn_speed_only_seed1234_h24_y6.pt
TCN,speed_only,3407,24,6,test,2,0.870104735284789,12166,0.9128333331134275,1.6264035388234495,0.012909150665681808,outputs\checkpoints\phase9b_tcn_speed_only_seed3407_h24_y6.pt
