point_id,inferred_frequency,unique_timestamps,gap_count_larger_than_frequency,max_gap_hours,duplicate_timestamp_rows
N001,1h,1980,0,1.0,0
N002,1h,1980,0,1.0,0
N003,1h,1980,0,1.0,0
N004,1h,1980,0,1.0,0
N005,1h,1980,0,1.0,0
N006,1h,1980,0,1.0,0
N007,1h,1980,0,1.0,0
N008,1h,1980,0,1.0,0
N009,1h,1980,0,1.0,0
N010,1h,1980,0,1.0,0
N011,1h,1980,0,1.0,0
N012,1h,1980,0,1.0,0
N013,1h,1980,0,1.0,0
N014,1h,1980,0,1.0,0
N015,1h,1980,0,1.0,0
N016,1h,1980,0,1.0,0
N017,1h,1980,0,1.0,0
N018,1h,1980,0,1.0,0
N019,1h,1980,0,1.0,0
N020,1h,1980,0,1.0,0
N021,1h,1980,0,1.0,0
N022,1h,1980,0,1.0,0
N023,1h,1980,0,1.0,0
N024,1h,1980,0,1.0,0
N025,1h,1980,0,1.0,0
N026,1h,1980,0,1.0,0
N027,1h,1980,0,1.0,0
N028,1h,1980,0,1.0,0
N029,1h,1980,0,1.0,0
N030,1h,1980,0,1.0,0
N031,1h,1980,0,1.0,0
N032,1h,1980,0,1.0,0
N033,1h,1980,0,1.0,0
N034,1h,1980,0,1.0,0
N035,1h,1980,0,1.0,0
N036,1h,1980,0,1.0,0
N037,1h,1980,0,1.0,0
N038,1h,1980,0,1.0,0
N039,1h,1980,0,1.0,0
N040,1h,1980,0,1.0,0
N041,1h,1980,0,1.0,0
N042,1h,1980,0,1.0,0
N043,1h,1980,0,1.0,0
N044,1h,1980,0,1.0,0
N045,1h,1980,0,1.0,0
N046,1h,1980,0,1.0,0
N047,1h,1980,0,1.0,0
N048,1h,1980,0,1.0,0
N049,1h,1980,0,1.0,0
N050,1h,1980,0,1.0,0
N051,1h,1980,0,1.0,0
