split,history_hours,horizon_hours,target_variable,window_count
test,24,1,congestion_index,13923
test,24,1,speed,13923
test,24,1,travel_time,13923
test,24,1,travel_time_delay,13923
test,24,3,congestion_index,13821
test,24,3,speed,13821
test,24,3,travel_time,13821
test,24,3,travel_time_delay,13821
test,24,6,congestion_index,13668
test,24,6,speed,13668
test,24,6,travel_time,13668
test,24,6,travel_time_delay,13668
test,24,12,congestion_index,13362
test,24,12,speed,13362
test,24,12,travel_time,13362
test,24,12,travel_time_delay,13362
test,24,24,congestion_index,12750
test,24,24,speed,12750
test,24,24,travel_time,12750
test,24,24,travel_time_delay,12750
test,72,1,congestion_index,11475
test,72,1,speed,11475
test,72,1,travel_time,11475
test,72,1,travel_time_delay,11475
test,72,3,congestion_index,11373
test,72,3,speed,11373
test,72,3,travel_time,11373
test,72,3,travel_time_delay,11373
test,72,6,congestion_index,11220
test,72,6,speed,11220
test,72,6,travel_time,11220
test,72,6,travel_time_delay,11220
test,72,12,congestion_index,10914
test,72,12,speed,10914
test,72,12,travel_time,10914
test,72,12,travel_time_delay,10914
test,72,24,congestion_index,10302
test,72,24,speed,10302
test,72,24,travel_time,10302
test,72,24,travel_time_delay,10302
test,168,1,congestion_index,6579
test,168,1,speed,6579
test,168,1,travel_time,6579
test,168,1,travel_time_delay,6579
test,168,3,congestion_index,6477
test,168,3,speed,6477
test,168,3,travel_time,6477
test,168,3,travel_time_delay,6477
test,168,6,congestion_index,6324
test,168,6,speed,6324
test,168,6,travel_time,6324
test,168,6,travel_time_delay,6324
test,168,12,congestion_index,6018
test,168,12,speed,6018
test,168,12,travel_time,6018
test,168,12,travel_time_delay,6018
test,168,24,congestion_index,5406
test,168,24,speed,5406
test,168,24,travel_time,5406
test,168,24,travel_time_delay,5406
train,24,1,congestion_index,69462
train,24,1,speed,69462
train,24,1,travel_time,69462
train,24,1,travel_time_delay,69462
train,24,3,congestion_index,69360
train,24,3,speed,69360
train,24,3,travel_time,69360
train,24,3,travel_time_delay,69360
train,24,6,congestion_index,69207
train,24,6,speed,69207
train,24,6,travel_time,69207
train,24,6,travel_time_delay,69207
train,24,12,congestion_index,68901
train,24,12,speed,68901
train,24,12,travel_time,68901
train,24,12,travel_time_delay,68901
train,24,24,congestion_index,68289
train,24,24,speed,68289
train,24,24,travel_time,68289
train,24,24,travel_time_delay,68289
train,72,1,congestion_index,67014
train,72,1,speed,67014
train,72,1,travel_time,67014
train,72,1,travel_time_delay,67014
train,72,3,congestion_index,66912
train,72,3,speed,66912
train,72,3,travel_time,66912
train,72,3,travel_time_delay,66912
train,72,6,congestion_index,66759
train,72,6,speed,66759
train,72,6,travel_time,66759
train,72,6,travel_time_delay,66759
train,72,12,congestion_index,66453
train,72,12,speed,66453
train,72,12,travel_time,66453
train,72,12,travel_time_delay,66453
train,72,24,congestion_index,65841
train,72,24,speed,65841
train,72,24,travel_time,65841
train,72,24,travel_time_delay,65841
train,168,1,congestion_index,62118
train,168,1,speed,62118
train,168,1,travel_time,62118
train,168,1,travel_time_delay,62118
train,168,3,congestion_index,62016
train,168,3,speed,62016
train,168,3,travel_time,62016
train,168,3,travel_time_delay,62016
train,168,6,congestion_index,61863
train,168,6,speed,61863
train,168,6,travel_time,61863
train,168,6,travel_time_delay,61863
train,168,12,congestion_index,61557
train,168,12,speed,61557
train,168,12,travel_time,61557
train,168,12,travel_time_delay,61557
train,168,24,congestion_index,60945
train,168,24,speed,60945
train,168,24,travel_time,60945
train,168,24,travel_time_delay,60945
train,168,168,congestion_index,53601
train,168,168,speed,53601
train,168,168,travel_time,53601
train,168,168,travel_time_delay,53601
val,24,1,congestion_index,13923
val,24,1,speed,13923
val,24,1,travel_time,13923
val,24,1,travel_time_delay,13923
val,24,3,congestion_index,13821
val,24,3,speed,13821
val,24,3,travel_time,13821
val,24,3,travel_time_delay,13821
val,24,6,congestion_index,13668
val,24,6,speed,13668
val,24,6,travel_time,13668
val,24,6,travel_time_delay,13668
val,24,12,congestion_index,13362
val,24,12,speed,13362
val,24,12,travel_time,13362
val,24,12,travel_time_delay,13362
val,24,24,congestion_index,12750
val,24,24,speed,12750
val,24,24,travel_time,12750
val,24,24,travel_time_delay,12750
val,72,1,congestion_index,11475
val,72,1,speed,11475
val,72,1,travel_time,11475
val,72,1,travel_time_delay,11475
val,72,3,congestion_index,11373
val,72,3,speed,11373
val,72,3,travel_time,11373
val,72,3,travel_time_delay,11373
val,72,6,congestion_index,11220
val,72,6,speed,11220
val,72,6,travel_time,11220
val,72,6,travel_time_delay,11220
val,72,12,congestion_index,10914
val,72,12,speed,10914
val,72,12,travel_time,10914
val,72,12,travel_time_delay,10914
val,72,24,congestion_index,10302
val,72,24,speed,10302
val,72,24,travel_time,10302
val,72,24,travel_time_delay,10302
val,168,1,congestion_index,6579
val,168,1,speed,6579
val,168,1,travel_time,6579
val,168,1,travel_time_delay,6579
val,168,3,congestion_index,6477
val,168,3,speed,6477
val,168,3,travel_time,6477
val,168,3,travel_time_delay,6477
val,168,6,congestion_index,6324
val,168,6,speed,6324
val,168,6,travel_time,6324
val,168,6,travel_time_delay,6324
val,168,12,congestion_index,6018
val,168,12,speed,6018
val,168,12,travel_time,6018
val,168,12,travel_time_delay,6018
val,168,24,congestion_index,5406
val,168,24,speed,5406
val,168,24,travel_time,5406
val,168,24,travel_time_delay,5406
